sample_id,formula,reduced_formula,anonymous_formula,element_set,n_unique_elements,elements_json,element_counts_json,n_sites,target
19,Sr1 V1 N1 O1 F1,SrVNOF,ABCDE,F-N-O-Sr-V,5,"[""F"", ""N"", ""O"", ""Sr"", ""V""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Sr"": 1.0, ""V"": 1.0}",5,0.46
20,V1 Ga1 N2 O1,VGaN2O,ABCD2,Ga-N-O-V,4,"[""Ga"", ""N"", ""O"", ""V""]","{""Ga"": 1.0, ""N"": 2.0, ""O"": 1.0, ""V"": 1.0}",5,1.08
21,Cr1 Cd1 O2 F1,CrCdO2F,ABCD2,Cd-Cr-F-O,4,"[""Cd"", ""Cr"", ""F"", ""O""]","{""Cd"": 1.0, ""Cr"": 1.0, ""F"": 1.0, ""O"": 2.0}",5,1.28
22,K1 Au1 N1 O1 F1,KAuNOF,ABCDE,Au-F-K-N-O,5,"[""Au"", ""F"", ""K"", ""N"", ""O""]","{""Au"": 1.0, ""F"": 1.0, ""K"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.76
23,Na1 Be1 N1 O1 F1,NaBeNOF,ABCDE,Be-F-N-Na-O,5,"[""Be"", ""F"", ""N"", ""Na"", ""O""]","{""Be"": 1.0, ""F"": 1.0, ""N"": 1.0, ""Na"": 1.0, ""O"": 1.0}",5,1.68
24,K1 Co1 O3,KCoO3,ABC3,Co-K-O,3,"[""Co"", ""K"", ""O""]","{""Co"": 1.0, ""K"": 1.0, ""O"": 3.0}",5,0.82
25,Sn1 Pt1 N1 O2,SnPtNO2,ABCD2,N-O-Pt-Sn,4,"[""N"", ""O"", ""Pt"", ""Sn""]","{""N"": 1.0, ""O"": 2.0, ""Pt"": 1.0, ""Sn"": 1.0}",5,1.16
26,Y1 Zr1 S1 O2,YZrSO2,ABCD2,O-S-Y-Zr,4,"[""O"", ""S"", ""Y"", ""Zr""]","{""O"": 2.0, ""S"": 1.0, ""Y"": 1.0, ""Zr"": 1.0}",5,1.18
27,Sc1 Sb1 S1 O2,ScSbSO2,ABCD2,O-S-Sb-Sc,4,"[""O"", ""S"", ""Sb"", ""Sc""]","{""O"": 2.0, ""S"": 1.0, ""Sb"": 1.0, ""Sc"": 1.0}",5,1.24
28,Ta1 Fe1 O3,TaFeO3,ABC3,Fe-O-Ta,3,"[""Fe"", ""O"", ""Ta""]","{""Fe"": 1.0, ""O"": 3.0, ""Ta"": 1.0}",5,0.32
29,Sc1 W1 N3,ScWN3,ABC3,N-Sc-W,3,"[""N"", ""Sc"", ""W""]","{""N"": 3.0, ""Sc"": 1.0, ""W"": 1.0}",5,0.6
30,Na1 Li1 N1 O1 F1,NaLiNOF,ABCDE,F-Li-N-Na-O,5,"[""F"", ""Li"", ""N"", ""Na"", ""O""]","{""F"": 1.0, ""Li"": 1.0, ""N"": 1.0, ""Na"": 1.0, ""O"": 1.0}",5,2.3
31,V1 Mo1 O3,VMoO3,ABC3,Mo-O-V,3,"[""Mo"", ""O"", ""V""]","{""Mo"": 1.0, ""O"": 3.0, ""V"": 1.0}",5,0.66
32,Cd1 As1 S1 O2,CdAsSO2,ABCD2,As-Cd-O-S,4,"[""As"", ""Cd"", ""O"", ""S""]","{""As"": 1.0, ""Cd"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,2.0
33,Zr1 V1 N1 O2,ZrVNO2,ABCD2,N-O-V-Zr,4,"[""N"", ""O"", ""V"", ""Zr""]","{""N"": 1.0, ""O"": 2.0, ""V"": 1.0, ""Zr"": 1.0}",5,0.62
34,In1 Bi1 S1 O2,InBiSO2,ABCD2,Bi-In-O-S,4,"[""Bi"", ""In"", ""O"", ""S""]","{""Bi"": 1.0, ""In"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,0.98
35,Si1 Au1 N1 O1 F1,SiAuNOF,ABCDE,Au-F-N-O-Si,5,"[""Au"", ""F"", ""N"", ""O"", ""Si""]","{""Au"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Si"": 1.0}",5,1.3
36,Ga1 Mo1 N1 O1 F1,GaMoNOF,ABCDE,F-Ga-Mo-N-O,5,"[""F"", ""Ga"", ""Mo"", ""N"", ""O""]","{""F"": 1.0, ""Ga"": 1.0, ""Mo"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,0.58
37,Bi2 N2 O1,Bi2N2O,AB2C2,Bi-N-O,3,"[""Bi"", ""N"", ""O""]","{""Bi"": 2.0, ""N"": 2.0, ""O"": 1.0}",5,1.18
38,Sb1 Pd1 N1 O2,SbPdNO2,ABCD2,N-O-Pd-Sb,4,"[""N"", ""O"", ""Pd"", ""Sb""]","{""N"": 1.0, ""O"": 2.0, ""Pd"": 1.0, ""Sb"": 1.0}",5,1.34
39,Tl1 Sn1 N1 O1 F1,TlSnNOF,ABCDE,F-N-O-Sn-Tl,5,"[""F"", ""N"", ""O"", ""Sn"", ""Tl""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Sn"": 1.0, ""Tl"": 1.0}",5,0.76
40,Li1 Sb1 O2 F1,LiSbO2F,ABCD2,F-Li-O-Sb,4,"[""F"", ""Li"", ""O"", ""Sb""]","{""F"": 1.0, ""Li"": 1.0, ""O"": 2.0, ""Sb"": 1.0}",5,1.16
41,Zr1 Co1 O2 F1,ZrCoO2F,ABCD2,Co-F-O-Zr,4,"[""Co"", ""F"", ""O"", ""Zr""]","{""Co"": 1.0, ""F"": 1.0, ""O"": 2.0, ""Zr"": 1.0}",5,1.28
42,Mo1 W1 O3,MoWO3,ABC3,Mo-O-W,3,"[""Mo"", ""O"", ""W""]","{""Mo"": 1.0, ""O"": 3.0, ""W"": 1.0}",5,1.4
43,Sr1 Ta1 N1 O1 F1,SrTaNOF,ABCDE,F-N-O-Sr-Ta,5,"[""F"", ""N"", ""O"", ""Sr"", ""Ta""]","{""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Sr"": 1.0, ""Ta"": 1.0}",5,2.96
44,Zn1 W1 S1 O2,ZnWSO2,ABCD2,O-S-W-Zn,4,"[""O"", ""S"", ""W"", ""Zn""]","{""O"": 2.0, ""S"": 1.0, ""W"": 1.0, ""Zn"": 1.0}",5,0.72
45,Mn1 V1 O2 F1,MnVO2F,ABCD2,F-Mn-O-V,4,"[""F"", ""Mn"", ""O"", ""V""]","{""F"": 1.0, ""Mn"": 1.0, ""O"": 2.0, ""V"": 1.0}",5,0.6
46,Sr1 Re1 N3,SrReN3,ABC3,N-Re-Sr,3,"[""N"", ""Re"", ""Sr""]","{""N"": 3.0, ""Re"": 1.0, ""Sr"": 1.0}",5,0.68
47,Cs1 Ti1 N1 O1 F1,CsTiNOF,ABCDE,Cs-F-N-O-Ti,5,"[""Cs"", ""F"", ""N"", ""O"", ""Ti""]","{""Cs"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Ti"": 1.0}",5,0.7
48,Li1 Cd1 N3,LiCdN3,ABC3,Cd-Li-N,3,"[""Cd"", ""Li"", ""N""]","{""Cd"": 1.0, ""Li"": 1.0, ""N"": 3.0}",5,2.84
49,Y1 Pb1 N1 O2,YPbNO2,ABCD2,N-O-Pb-Y,4,"[""N"", ""O"", ""Pb"", ""Y""]","{""N"": 1.0, ""O"": 2.0, ""Pb"": 1.0, ""Y"": 1.0}",5,1.18
50,La1 Hf1 S1 O2,LaHfSO2,ABCD2,Hf-La-O-S,4,"[""Hf"", ""La"", ""O"", ""S""]","{""Hf"": 1.0, ""La"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,0.56
51,As1 Pd1 S1 O2,AsPdSO2,ABCD2,As-O-Pd-S,4,"[""As"", ""O"", ""Pd"", ""S""]","{""As"": 1.0, ""O"": 2.0, ""Pd"": 1.0, ""S"": 1.0}",5,0.92
52,Nb1 Ge1 N3,NbGeN3,ABC3,Ge-N-Nb,3,"[""Ge"", ""N"", ""Nb""]","{""Ge"": 1.0, ""N"": 3.0, ""Nb"": 1.0}",5,0.98
53,Rb1 Pd1 N1 O2,RbPdNO2,ABCD2,N-O-Pd-Rb,4,"[""N"", ""O"", ""Pd"", ""Rb""]","{""N"": 1.0, ""O"": 2.0, ""Pd"": 1.0, ""Rb"": 1.0}",5,3.2
54,Be1 Ga1 S1 O2,BeGaSO2,ABCD2,Be-Ga-O-S,4,"[""Be"", ""Ga"", ""O"", ""S""]","{""Be"": 1.0, ""Ga"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.48
55,Bi1 Au1 S1 O2,BiAuSO2,ABCD2,Au-Bi-O-S,4,"[""Au"", ""Bi"", ""O"", ""S""]","{""Au"": 1.0, ""Bi"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.36
56,In1 Au1 N2 O1,InAuN2O,ABCD2,Au-In-N-O,4,"[""Au"", ""In"", ""N"", ""O""]","{""Au"": 1.0, ""In"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,1.78
57,Cr1 Pd1 N1 O2,CrPdNO2,ABCD2,Cr-N-O-Pd,4,"[""Cr"", ""N"", ""O"", ""Pd""]","{""Cr"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Pd"": 1.0}",5,0.84
58,Rb1 Sn1 O2 F1,RbSnO2F,ABCD2,F-O-Rb-Sn,4,"[""F"", ""O"", ""Rb"", ""Sn""]","{""F"": 1.0, ""O"": 2.0, ""Rb"": 1.0, ""Sn"": 1.0}",5,0.36
59,Mo1 W1 N1 O2,MoWNO2,ABCD2,Mo-N-O-W,4,"[""Mo"", ""N"", ""O"", ""W""]","{""Mo"": 1.0, ""N"": 1.0, ""O"": 2.0, ""W"": 1.0}",5,0.64
60,Co1 Pd1 N2 O1,CoPdN2O,ABCD2,Co-N-O-Pd,4,"[""Co"", ""N"", ""O"", ""Pd""]","{""Co"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Pd"": 1.0}",5,1.44
61,Rb1 W1 N1 O2,RbWNO2,ABCD2,N-O-Rb-W,4,"[""N"", ""O"", ""Rb"", ""W""]","{""N"": 1.0, ""O"": 2.0, ""Rb"": 1.0, ""W"": 1.0}",5,0.0
62,Cs1 Ir1 O2 F1,CsIrO2F,ABCD2,Cs-F-Ir-O,4,"[""Cs"", ""F"", ""Ir"", ""O""]","{""Cs"": 1.0, ""F"": 1.0, ""Ir"": 1.0, ""O"": 2.0}",5,1.24
63,Cs1 W1 N3,CsWN3,ABC3,Cs-N-W,3,"[""Cs"", ""N"", ""W""]","{""Cs"": 1.0, ""N"": 3.0, ""W"": 1.0}",5,1.36
64,Sr1 Ca1 N1 O2,SrCaNO2,ABCD2,Ca-N-O-Sr,4,"[""Ca"", ""N"", ""O"", ""Sr""]","{""Ca"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Sr"": 1.0}",5,1.9
65,Be1 B1 N1 O1 F1,BeBNOF,ABCDE,B-Be-F-N-O,5,"[""B"", ""Be"", ""F"", ""N"", ""O""]","{""B"": 1.0, ""Be"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,1.54
66,Zr1 As1 N1 O1 F1,ZrAsNOF,ABCDE,As-F-N-O-Zr,5,"[""As"", ""F"", ""N"", ""O"", ""Zr""]","{""As"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Zr"": 1.0}",5,0.86
67,Sc1 Be1 N3,ScBeN3,ABC3,Be-N-Sc,3,"[""Be"", ""N"", ""Sc""]","{""Be"": 1.0, ""N"": 3.0, ""Sc"": 1.0}",5,1.48
68,Fe1 Cu1 N1 O2,FeCuNO2,ABCD2,Cu-Fe-N-O,4,"[""Cu"", ""Fe"", ""N"", ""O""]","{""Cu"": 1.0, ""Fe"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.1
69,K1 Ta1 N1 O1 F1,KTaNOF,ABCDE,F-K-N-O-Ta,5,"[""F"", ""K"", ""N"", ""O"", ""Ta""]","{""F"": 1.0, ""K"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Ta"": 1.0}",5,3.34
70,Ta1 Ni1 O2 F1,TaNiO2F,ABCD2,F-Ni-O-Ta,4,"[""F"", ""Ni"", ""O"", ""Ta""]","{""F"": 1.0, ""Ni"": 1.0, ""O"": 2.0, ""Ta"": 1.0}",5,1.08
71,Sr1 Fe1 N3,SrFeN3,ABC3,Fe-N-Sr,3,"[""Fe"", ""N"", ""Sr""]","{""Fe"": 1.0, ""N"": 3.0, ""Sr"": 1.0}",5,3.74
72,In1 Mo1 N3,InMoN3,ABC3,In-Mo-N,3,"[""In"", ""Mo"", ""N""]","{""In"": 1.0, ""Mo"": 1.0, ""N"": 3.0}",5,0.82
73,Te1 Pt1 N3,TePtN3,ABC3,N-Pt-Te,3,"[""N"", ""Pt"", ""Te""]","{""N"": 3.0, ""Pt"": 1.0, ""Te"": 1.0}",5,2.3
74,K1 Ru1 O2 F1,KRuO2F,ABCD2,F-K-O-Ru,4,"[""F"", ""K"", ""O"", ""Ru""]","{""F"": 1.0, ""K"": 1.0, ""O"": 2.0, ""Ru"": 1.0}",5,3.2
75,Si1 B1 O3,SiBO3,ABC3,B-O-Si,3,"[""B"", ""O"", ""Si""]","{""B"": 1.0, ""O"": 3.0, ""Si"": 1.0}",5,1.9
76,Sr1 Si1 N1 O2,SrSiNO2,ABCD2,N-O-Si-Sr,4,"[""N"", ""O"", ""Si"", ""Sr""]","{""N"": 1.0, ""O"": 2.0, ""Si"": 1.0, ""Sr"": 1.0}",5,2.98
77,Ga1 Pt1 O2 F1,GaPtO2F,ABCD2,F-Ga-O-Pt,4,"[""F"", ""Ga"", ""O"", ""Pt""]","{""F"": 1.0, ""Ga"": 1.0, ""O"": 2.0, ""Pt"": 1.0}",5,1.38
78,Mn1 W1 N1 O2,MnWNO2,ABCD2,Mn-N-O-W,4,"[""Mn"", ""N"", ""O"", ""W""]","{""Mn"": 1.0, ""N"": 1.0, ""O"": 2.0, ""W"": 1.0}",5,0.42
79,La1 Pt1 S1 O2,LaPtSO2,ABCD2,La-O-Pt-S,4,"[""La"", ""O"", ""Pt"", ""S""]","{""La"": 1.0, ""O"": 2.0, ""Pt"": 1.0, ""S"": 1.0}",5,1.0
80,Nb1 V1 N1 O1 F1,NbVNOF,ABCDE,F-N-Nb-O-V,5,"[""F"", ""N"", ""Nb"", ""O"", ""V""]","{""F"": 1.0, ""N"": 1.0, ""Nb"": 1.0, ""O"": 1.0, ""V"": 1.0}",5,1.06
81,Na1 Tl1 N1 O2,NaTlNO2,ABCD2,N-Na-O-Tl,4,"[""N"", ""Na"", ""O"", ""Tl""]","{""N"": 1.0, ""Na"": 1.0, ""O"": 2.0, ""Tl"": 1.0}",5,1.6
82,In1 Ag1 N3,InAgN3,ABC3,Ag-In-N,3,"[""Ag"", ""In"", ""N""]","{""Ag"": 1.0, ""In"": 1.0, ""N"": 3.0}",5,2.04
83,Cu1 Ge1 N1 O2,CuGeNO2,ABCD2,Cu-Ge-N-O,4,"[""Cu"", ""Ge"", ""N"", ""O""]","{""Cu"": 1.0, ""Ge"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,0.96
84,Li1 B1 N2 O1,LiBN2O,ABCD2,B-Li-N-O,4,"[""B"", ""Li"", ""N"", ""O""]","{""B"": 1.0, ""Li"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,2.22
85,Be1 Sb1 N3,BeSbN3,ABC3,Be-N-Sb,3,"[""Be"", ""N"", ""Sb""]","{""Be"": 1.0, ""N"": 3.0, ""Sb"": 1.0}",5,1.9
86,Sn1 Ge1 N2 O1,SnGeN2O,ABCD2,Ge-N-O-Sn,4,"[""Ge"", ""N"", ""O"", ""Sn""]","{""Ge"": 1.0, ""N"": 2.0, ""O"": 1.0, ""Sn"": 1.0}",5,1.12
87,Ba1 Co1 N1 O1 F1,BaCoNOF,ABCDE,Ba-Co-F-N-O,5,"[""Ba"", ""Co"", ""F"", ""N"", ""O""]","{""Ba"": 1.0, ""Co"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,2.8
88,V1 Te1 O3,VTeO3,ABC3,O-Te-V,3,"[""O"", ""Te"", ""V""]","{""O"": 3.0, ""Te"": 1.0, ""V"": 1.0}",5,0.62
89,La1 Ru1 O2 F1,LaRuO2F,ABCD2,F-La-O-Ru,4,"[""F"", ""La"", ""O"", ""Ru""]","{""F"": 1.0, ""La"": 1.0, ""O"": 2.0, ""Ru"": 1.0}",5,1.86
90,Cd1 Ga1 O3,CdGaO3,ABC3,Cd-Ga-O,3,"[""Cd"", ""Ga"", ""O""]","{""Cd"": 1.0, ""Ga"": 1.0, ""O"": 3.0}",5,1.72
91,Be1 Fe1 N3,BeFeN3,ABC3,Be-Fe-N,3,"[""Be"", ""Fe"", ""N""]","{""Be"": 1.0, ""Fe"": 1.0, ""N"": 3.0}",5,1.32
92,Zr1 Te1 O2 F1,ZrTeO2F,ABCD2,F-O-Te-Zr,4,"[""F"", ""O"", ""Te"", ""Zr""]","{""F"": 1.0, ""O"": 2.0, ""Te"": 1.0, ""Zr"": 1.0}",5,0.76
93,Sn1 Pb1 N2 O1,SnPbN2O,ABCD2,N-O-Pb-Sn,4,"[""N"", ""O"", ""Pb"", ""Sn""]","{""N"": 2.0, ""O"": 1.0, ""Pb"": 1.0, ""Sn"": 1.0}",5,1.44
94,Na1 Si1 N2 O1,NaSiN2O,ABCD2,N-Na-O-Si,4,"[""N"", ""Na"", ""O"", ""Si""]","{""N"": 2.0, ""Na"": 1.0, ""O"": 1.0, ""Si"": 1.0}",5,2.32
95,Ni1 Mo1 N2 O1,NiMoN2O,ABCD2,Mo-N-Ni-O,4,"[""Mo"", ""N"", ""Ni"", ""O""]","{""Mo"": 1.0, ""N"": 2.0, ""Ni"": 1.0, ""O"": 1.0}",5,1.16
96,K1 Cd1 N3,KCdN3,ABC3,Cd-K-N,3,"[""Cd"", ""K"", ""N""]","{""Cd"": 1.0, ""K"": 1.0, ""N"": 3.0}",5,3.6
97,Mg1 Os1 N3,MgOsN3,ABC3,Mg-N-Os,3,"[""Mg"", ""N"", ""Os""]","{""Mg"": 1.0, ""N"": 3.0, ""Os"": 1.0}",5,1.44
98,Ta1 Ir1 S1 O2,TaIrSO2,ABCD2,Ir-O-S-Ta,4,"[""Ir"", ""O"", ""S"", ""Ta""]","{""Ir"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Ta"": 1.0}",5,0.56
99,Sn1 Hg1 N3,SnHgN3,ABC3,Hg-N-Sn,3,"[""Hg"", ""N"", ""Sn""]","{""Hg"": 1.0, ""N"": 3.0, ""Sn"": 1.0}",5,2.38
100,Na1 Ru1 N1 O1 F1,NaRuNOF,ABCDE,F-N-Na-O-Ru,5,"[""F"", ""N"", ""Na"", ""O"", ""Ru""]","{""F"": 1.0, ""N"": 1.0, ""Na"": 1.0, ""O"": 1.0, ""Ru"": 1.0}",5,1.08
101,Ni2 N3,Ni2N3,A2B3,N-Ni,2,"[""N"", ""Ni""]","{""N"": 3.0, ""Ni"": 2.0}",5,1.48
102,Nb1 Re1 N3,NbReN3,ABC3,N-Nb-Re,3,"[""N"", ""Nb"", ""Re""]","{""N"": 3.0, ""Nb"": 1.0, ""Re"": 1.0}",5,1.02
103,Tl1 Re1 O3,TlReO3,ABC3,O-Re-Tl,3,"[""O"", ""Re"", ""Tl""]","{""O"": 3.0, ""Re"": 1.0, ""Tl"": 1.0}",5,0.42
104,Na1 Hf1 S1 O2,NaHfSO2,ABCD2,Hf-Na-O-S,4,"[""Hf"", ""Na"", ""O"", ""S""]","{""Hf"": 1.0, ""Na"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.64
105,Ca1 Co1 N1 O1 F1,CaCoNOF,ABCDE,Ca-Co-F-N-O,5,"[""Ca"", ""Co"", ""F"", ""N"", ""O""]","{""Ca"": 1.0, ""Co"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0}",5,2.58
106,Sc1 Cr1 S1 O2,ScCrSO2,ABCD2,Cr-O-S-Sc,4,"[""Cr"", ""O"", ""S"", ""Sc""]","{""Cr"": 1.0, ""O"": 2.0, ""S"": 1.0, ""Sc"": 1.0}",5,0.62
107,Mg1 Au1 N1 O2,MgAuNO2,ABCD2,Au-Mg-N-O,4,"[""Au"", ""Mg"", ""N"", ""O""]","{""Au"": 1.0, ""Mg"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.7
108,Na1 Ca1 N2 O1,NaCaN2O,ABCD2,Ca-N-Na-O,4,"[""Ca"", ""N"", ""Na"", ""O""]","{""Ca"": 1.0, ""N"": 2.0, ""Na"": 1.0, ""O"": 1.0}",5,2.8
109,Be1 Si1 N1 O1 F1,BeSiNOF,ABCDE,Be-F-N-O-Si,5,"[""Be"", ""F"", ""N"", ""O"", ""Si""]","{""Be"": 1.0, ""F"": 1.0, ""N"": 1.0, ""O"": 1.0, ""Si"": 1.0}",5,1.54
110,Pd1 W1 N1 O2,PdWNO2,ABCD2,N-O-Pd-W,4,"[""N"", ""O"", ""Pd"", ""W""]","{""N"": 1.0, ""O"": 2.0, ""Pd"": 1.0, ""W"": 1.0}",5,1.62
111,Mn1 Te1 N1 O2,MnTeNO2,ABCD2,Mn-N-O-Te,4,"[""Mn"", ""N"", ""O"", ""Te""]","{""Mn"": 1.0, ""N"": 1.0, ""O"": 2.0, ""Te"": 1.0}",5,1.0
112,Co1 Ir1 N3,CoIrN3,ABC3,Co-Ir-N,3,"[""Co"", ""Ir"", ""N""]","{""Co"": 1.0, ""Ir"": 1.0, ""N"": 3.0}",5,1.98
113,Cu1 W1 S1 O2,CuWSO2,ABCD2,Cu-O-S-W,4,"[""Cu"", ""O"", ""S"", ""W""]","{""Cu"": 1.0, ""O"": 2.0, ""S"": 1.0, ""W"": 1.0}",5,1.96
114,La1 Au1 O2 F1,LaAuO2F,ABCD2,Au-F-La-O,4,"[""Au"", ""F"", ""La"", ""O""]","{""Au"": 1.0, ""F"": 1.0, ""La"": 1.0, ""O"": 2.0}",5,1.3
115,Ge1 Pd1 O3,GePdO3,ABC3,Ge-O-Pd,3,"[""Ge"", ""O"", ""Pd""]","{""Ge"": 1.0, ""O"": 3.0, ""Pd"": 1.0}",5,1.04
116,Bi1 Rh1 O3,BiRhO3,ABC3,Bi-O-Rh,3,"[""Bi"", ""O"", ""Rh""]","{""Bi"": 1.0, ""O"": 3.0, ""Rh"": 1.0}",5,1.3
117,Hf1 Bi1 N3,HfBiN3,ABC3,Bi-Hf-N,3,"[""Bi"", ""Hf"", ""N""]","{""Bi"": 1.0, ""Hf"": 1.0, ""N"": 3.0}",5,2.18
118,Cu1 Ni1 S1 O2,CuNiSO2,ABCD2,Cu-Ni-O-S,4,"[""Cu"", ""Ni"", ""O"", ""S""]","{""Cu"": 1.0, ""Ni"": 1.0, ""O"": 2.0, ""S"": 1.0}",5,1.06
119,La1 Ga1 N1 O2,LaGaNO2,ABCD2,Ga-La-N-O,4,"[""Ga"", ""La"", ""N"", ""O""]","{""Ga"": 1.0, ""La"": 1.0, ""N"": 1.0, ""O"": 2.0}",5,1.7
120,La1 As1 N2 O1,LaAsN2O,ABCD2,As-La-N-O,4,"[""As"", ""La"", ""N"", ""O""]","{""As"": 1.0, ""La"": 1.0, ""N"": 2.0, ""O"": 1.0}",5,0.7
