reduced_formula,group_size,target_mean,target_std,target_min,target_max,n_unique_elements_mean
AgIrO2F,2,1.64,0.9050966799187806,1.0,2.28,4.0
AgIrO3,2,1.81,0.5798275605729691,1.4,2.22,3.0
AgIrSO2,2,1.35,0.15556349186104035,1.24,1.46,4.0
AgMoN2O,2,1.33,0.6646803743153548,0.86,1.8,4.0
AgMoN3,2,1.4500000000000002,0.5232590180780453,1.08,1.82,3.0
AgMoNO2,2,1.23,0.8061017305526642,0.66,1.8,4.0
AgMoNOF,2,1.34,1.0748023074035524,0.58,2.1,5.0
AgMoO2F,2,1.16,1.0182337649086284,0.44,1.88,4.0
AgMoO3,2,1.28,1.2445079348883237,0.4,2.16,3.0
AgMoSO2,2,1.4100000000000001,1.0889444430272832,0.64,2.18,4.0
AgOsN2O,2,1.6099999999999999,0.4949747468305831,1.26,1.96,4.0
AgOsN3,2,1.68,0.39597979746446665,1.4,1.96,3.0
AgOsNO2,2,1.6099999999999999,0.6363961030678927,1.16,2.06,4.0
AgOsNOF,2,1.7,1.103086578651014,0.92,2.48,5.0
AgOsO2F,2,1.5899999999999999,0.9758073580374355,0.9,2.28,4.0
AgOsO3,2,1.6400000000000001,0.7636753236814714,1.1,2.18,3.0
AgOsSO2,2,1.79,1.0889444430272832,1.02,2.56,4.0
AgPbN2O,2,2.04,0.14142135623730964,1.94,2.14,4.0
AgPbN3,2,2.13,0.014142135623730807,2.12,2.14,3.0
AgPbNO2,2,1.72,0.05656854249492385,1.68,1.76,4.0
AgPbNOF,2,1.43,0.014142135623730963,1.42,1.44,5.0
AgPbO2F,2,1.09,0.04242640687119289,1.06,1.12,4.0
AgPbO3,2,1.42,0.08485281374238554,1.36,1.48,3.0
AgPbSO2,2,1.33,0.15556349186104051,1.22,1.44,4.0
AgPdN2O,2,2.31,0.4666904755831215,1.98,2.64,4.0
AgPdN3,2,2.02,0.08485281374238578,1.96,2.08,3.0
AgPdNO2,2,2.17,0.43840620433565947,1.86,2.48,4.0
AgPdNOF,2,1.55,0.3535533905932738,1.3,1.8,5.0
AgPdO2F,2,1.37,0.32526911934581193,1.14,1.6,4.0
AgPdO3,2,1.9899999999999998,0.4101219330881974,1.7,2.28,3.0
AgPdSO2,2,1.3900000000000001,0.09899494936611666,1.32,1.46,4.0
AgPtN2O,2,1.93,0.014142135623730963,1.92,1.94,4.0
AgPtN3,2,1.93,0.04242640687119289,1.9,1.96,3.0
AgPtNO2,2,1.8900000000000001,0.09899494936611666,1.82,1.96,4.0
AgPtNOF,2,1.69,0.5798275605729689,1.28,2.1,5.0
AgPtO2F,2,1.5499999999999998,0.551543289325507,1.16,1.94,4.0
AgPtO3,2,2.12,0.5939696961967,1.7,2.54,3.0
AgPtSO2,2,1.43,0.04242640687119289,1.4,1.46,4.0
AgRhN2O,2,2.0,0.2545584412271571,1.82,2.18,4.0
AgRhN3,2,1.91,0.04242640687119289,1.88,1.94,3.0
AgRhNO2,2,1.7799999999999998,0.19798989873223324,1.64,1.92,4.0
AgRhNOF,2,1.6099999999999999,0.6081118318204308,1.18,2.04,5.0
AgRhO2F,2,1.42,0.565685424949238,1.02,1.82,4.0
AgRhO3,2,1.92,0.6222539674441617,1.48,2.36,3.0
AgRhSO2,2,1.32,0.05656854249492385,1.28,1.36,4.0
AgRuN2O,2,1.86,0.5091168824543144,1.5,2.22,4.0
AgRuN3,2,1.78,0.2262741699796951,1.62,1.94,3.0
AgRuNO2,2,1.67,0.4384062043356593,1.36,1.98,4.0
AgRuNOF,2,1.47,0.7778174593052022,0.92,2.02,5.0
AgRuO2F,2,1.29,0.6929646455628166,0.8,1.78,4.0
AgRuO3,2,1.7799999999999998,0.7919595949289332,1.22,2.34,3.0
AgRuSO2,2,1.3,0.25455844122715704,1.12,1.48,4.0
AgSbN2O,2,1.62,0.1979898987322334,1.48,1.76,4.0
AgSbN3,2,2.09,0.4101219330881974,1.8,2.38,3.0
AgSbNO2,2,1.3399999999999999,0.28284271247461906,1.14,1.54,4.0
AgSbNOF,2,1.33,0.4949747468305831,0.98,1.68,5.0
AgSbO2F,2,1.05,0.551543289325507,0.66,1.44,4.0
AgSbO3,2,1.05,0.4101219330881976,0.76,1.34,3.0
AgSbSO2,2,1.1600000000000001,0.5374011537017761,0.78,1.54,4.0
AgSnN2O,2,1.6099999999999999,0.24041630560342614,1.44,1.78,4.0
AgSnN3,2,1.7999999999999998,0.11313708498984747,1.72,1.88,3.0
AgSnNO2,2,1.35,0.29698484809835013,1.14,1.56,4.0
AgSnNOF,2,1.2,0.39597979746446654,0.92,1.48,5.0
AgSnO2F,2,0.85,0.4666904755831213,0.52,1.18,4.0
AgSnO3,2,1.1400000000000001,0.311126983722081,0.92,1.36,3.0
AgSnSO2,2,1.03,0.1272792206135787,0.94,1.12,4.0
AgTeN2O,2,1.75,0.07071067811865482,1.7,1.8,4.0
AgTeN3,2,2.2800000000000002,0.42426406871192873,1.98,2.58,3.0
AgTeNO2,2,1.75,0.551543289325507,1.36,2.14,4.0
AgTeNOF,2,1.42,0.5374011537017761,1.04,1.8,5.0
AgTeO2F,2,1.17,0.6363961030678927,0.72,1.62,4.0
AgTeO3,2,1.32,0.42426406871192857,1.02,1.62,3.0
AgTeSO2,2,1.3,0.565685424949238,0.9,1.7,4.0
AgWN2O,2,1.24,0.7919595949289332,0.68,1.8,4.0
AgWN3,2,1.4,0.622253967444162,0.96,1.84,3.0
AgWNO2,2,1.11,0.9192388155425117,0.46,1.76,4.0
AgWNOF,2,1.43,1.3435028842544403,0.48,2.38,5.0
AgWO2F,2,1.33,1.2586500705120547,0.44,2.22,4.0
AgWO3,2,1.02,1.0182337649086284,0.3,1.74,3.0
AgWSO2,2,1.1,0.7071067811865476,0.6,1.6,4.0
AlAgN2O,2,1.8900000000000001,0.29698484809835013,1.68,2.1,4.0
AlAgN3,2,1.88,0.0,1.88,1.88,3.0
AlAgNO2,2,1.71,0.4384062043356595,1.4,2.02,4.0
AlAgNOF,2,1.79,1.0040916292848974,1.08,2.5,5.0
AlAgO2F,2,1.4600000000000002,1.1030865786510142,0.68,2.24,4.0
AlAgO3,2,1.73,0.9758073580374355,1.04,2.42,3.0
AlAgSO2,2,1.33,0.2687005768508882,1.14,1.52,4.0
AlAsN2O,2,1.44,0.25455844122715726,1.26,1.62,4.0
AlAsN3,2,1.9100000000000001,0.0989949493661165,1.84,1.98,3.0
AlAsNO2,2,1.28,0.028284271247461926,1.26,1.3,4.0
AlAsNOF,2,1.35,0.3252691193458118,1.12,1.58,5.0
AlAsO2F,2,1.16,0.42426406871192857,0.86,1.46,4.0
AlAsO3,2,1.07,0.29698484809834996,0.86,1.28,3.0
AlAsSO2,2,1.15,0.2687005768508882,0.96,1.34,4.0
AlAuN2O,2,1.81,0.2969848480983499,1.6,2.02,4.0
AlAuN3,2,2.01,0.04242640687119305,1.98,2.04,3.0
AlAuNO2,2,1.71,0.4101219330881976,1.42,2.0,4.0
AlAuNOF,2,1.9300000000000002,0.862670273047588,1.32,2.54,5.0
AlAuO2F,2,1.63,0.9758073580374355,0.94,2.32,4.0
AlAuO3,2,1.6099999999999999,0.4666904755831214,1.28,1.94,3.0
AlAuSO2,2,1.46,0.25455844122715704,1.28,1.64,4.0
AlBN2O,2,2.36,0.7353910524340094,1.84,2.88,4.0
AlBN3,2,2.51,0.7778174593052022,1.96,3.06,3.0
AlBNO2,2,2.0700000000000003,0.7495331880577406,1.54,2.6,4.0
AlBNOF,2,1.87,0.4949747468305834,1.52,2.22,5.0
AlBO2F,2,1.56,0.14142135623730956,1.46,1.66,4.0
AlBO3,2,1.77,0.7778174593052021,1.22,2.32,3.0
AlBSO2,2,1.54,0.1979898987322334,1.4,1.68,4.0
AlBiN2O,2,1.42,0.39597979746446665,1.14,1.7,4.0
AlBiN3,2,1.69,0.3535533905932738,1.44,1.94,3.0
AlBiNO2,2,1.1800000000000002,0.5939696961967,0.76,1.6,4.0
AlBiNOF,2,1.3399999999999999,0.8768124086713188,0.72,1.96,5.0
AlBiO2F,2,1.07,0.7212489168102785,0.56,1.58,4.0
AlBiO3,2,0.87,0.8626702730475879,0.26,1.48,3.0
AlBiSO2,2,1.13,0.5232590180780451,0.76,1.5,4.0
AlCdN2O,2,2.12,1.0182337649086286,1.4,2.84,4.0
AlCdN3,2,1.72,0.08485281374238578,1.66,1.78,3.0
AlCdNO2,2,1.37,0.4949747468305831,1.02,1.72,4.0
AlCdNOF,2,1.5599999999999998,1.0465180361560902,0.82,2.3,5.0
AlCdO2F,2,1.1,1.1596551211459378,0.28,1.92,4.0
AlCdO3,2,1.44,1.1596551211459378,0.62,2.26,3.0
AlCdSO2,2,1.73,0.9758073580374355,1.04,2.42,4.0
AlCoN2O,2,1.25,0.09899494936611673,1.18,1.32,4.0
AlCoN3,2,1.3199999999999998,0.11313708498984747,1.24,1.4,3.0
AlCoNO2,2,1.31,0.1838477631085023,1.18,1.44,4.0
AlCoNOF,2,1.42,0.42426406871192834,1.12,1.72,5.0
AlCoO2F,2,1.12,0.5374011537017762,0.74,1.5,4.0
AlCoO3,2,1.04,0.05656854249492385,1.0,1.08,3.0
AlCoSO2,2,1.42,0.16970562748477133,1.3,1.54,4.0
AlCrN2O,2,1.48,0.028284271247461926,1.46,1.5,4.0
AlCrN3,2,1.2999999999999998,0.4808326112068524,0.96,1.64,3.0
AlCrNO2,2,1.15,0.18384776310850245,1.02,1.28,4.0
AlCrNOF,2,1.1099999999999999,0.3818376618407356,0.84,1.38,5.0
AlCrO2F,2,0.71,0.4384062043356594,0.4,1.02,4.0
AlCrO3,2,0.8,0.311126983722081,0.58,1.02,3.0
AlCrSO2,2,1.02,0.028284271247461926,1.0,1.04,4.0
AlCuN2O,2,1.56,0.25455844122715726,1.38,1.74,4.0
AlCuN3,2,1.79,0.18384776310850245,1.66,1.92,3.0
AlCuNO2,2,1.5,0.05656854249492385,1.46,1.54,4.0
AlCuNOF,2,1.5899999999999999,0.6081118318204308,1.16,2.02,5.0
AlCuO2F,2,1.1,0.5374011537017762,0.72,1.48,4.0
AlCuO3,2,1.4700000000000002,0.551543289325507,1.08,1.86,3.0
AlCuSO2,2,1.25,0.07071067811865482,1.2,1.3,4.0
AlFeN2O,2,1.15,0.07071067811865459,1.1,1.2,4.0
AlFeN3,2,1.2000000000000002,0.1414213562373094,1.1,1.3,3.0
AlFeNO2,2,1.13,0.15556349186104051,1.02,1.24,4.0
AlFeNOF,2,1.3,0.45254833995939053,0.98,1.62,5.0
AlFeO2F,2,0.87,0.4666904755831213,0.54,1.2,4.0
AlFeO3,2,1.06,0.39597979746446665,0.78,1.34,3.0
AlFeSO2,2,1.12,0.11313708498984747,1.04,1.2,4.0
AlGaN2O,2,1.5,0.08485281374238578,1.44,1.56,4.0
AlGaN3,2,1.6800000000000002,0.1414213562373094,1.58,1.78,3.0
AlGaNO2,2,1.1800000000000002,0.08485281374238571,1.12,1.24,4.0
AlGaNOF,2,1.25,0.4101219330881976,0.96,1.54,5.0
AlGaO2F,2,0.77,0.3818376618407357,0.5,1.04,4.0
AlGaO3,2,1.08,0.42426406871192834,0.78,1.38,3.0
AlGaSO2,2,1.26,0.28284271247461895,1.06,1.46,4.0
AlGeN2O,2,1.3399999999999999,0.2545584412271571,1.16,1.52,4.0
AlGeN3,2,1.85,0.15556349186104051,1.74,1.96,3.0
AlGeNO2,2,0.9199999999999999,0.028284271247461888,0.9,0.94,4.0
AlGeNOF,2,1.21,0.4384062043356595,0.9,1.52,5.0
AlGeO2F,2,0.89,0.6646803743153548,0.42,1.36,4.0
AlGeO3,2,0.98,0.31112698372208086,0.76,1.2,3.0
AlGeSO2,2,1.13,0.18384776310850245,1.0,1.26,4.0
AlHgN2O,2,1.92,0.3676955262170048,1.66,2.18,4.0
AlHgN3,2,2.47,0.8909545442950498,1.84,3.1,3.0
AlHgNO2,2,2.04,1.0182337649086284,1.32,2.76,4.0
AlHgNOF,2,1.78,1.0465180361560904,1.04,2.52,5.0
AlHgO2F,2,1.44,1.1596551211459378,0.62,2.26,4.0
AlHgO3,2,1.73,1.0889444430272832,0.96,2.5,3.0
AlHgSO2,2,1.76,0.9333809511662426,1.1,2.42,4.0
AlInN2O,2,1.51,0.268700576850888,1.32,1.7,4.0
AlInN3,2,1.67,0.15556349186104035,1.56,1.78,3.0
AlInNO2,2,1.15,0.3535533905932736,0.9,1.4,4.0
AlInNOF,2,1.3,0.7636753236814714,0.76,1.84,5.0
AlInO2F,2,0.87,0.7495331880577404,0.34,1.4,4.0
AlInO3,2,0.7999999999999999,0.48083261120685217,0.46,1.14,3.0
AlInSO2,2,1.11,0.3535533905932739,0.86,1.36,4.0
AlIrN2O,2,1.7,0.39597979746446665,1.42,1.98,4.0
AlIrN3,2,1.42,0.22627416997969532,1.26,1.58,3.0
AlIrNO2,2,1.6400000000000001,0.45254833995939026,1.32,1.96,4.0
AlIrNOF,2,1.87,0.2687005768508882,1.68,2.06,5.0
AlIrO2F,2,1.66,0.36769552621700474,1.4,1.92,4.0
AlIrO3,2,1.52,0.028284271247461926,1.5,1.54,3.0
AlIrSO2,2,1.4500000000000002,0.1272792206135786,1.36,1.54,4.0
AlMoN2O,2,1.08,0.4242640687119285,0.78,1.38,4.0
AlMoN3,2,1.01,0.24041630560342608,0.84,1.18,3.0
AlMoNO2,2,1.1800000000000002,0.08485281374238554,1.12,1.24,4.0
AlMoNOF,2,1.2599999999999998,0.16970562748477147,1.14,1.38,5.0
AlMoO2F,2,1.05,0.26870057685088805,0.86,1.24,4.0
AlMoO3,2,0.9400000000000001,0.19798989873223333,0.8,1.08,3.0
AlMoSO2,2,1.22,0.028284271247461926,1.2,1.24,4.0
AlNiN2O,2,1.33,0.18384776310850245,1.2,1.46,4.0
AlNiN3,2,1.41,0.04242640687119289,1.38,1.44,3.0
AlNiNO2,2,1.4500000000000002,0.5798275605729691,1.04,1.86,4.0
AlNiNOF,2,1.47,0.4666904755831215,1.14,1.8,5.0
AlNiO2F,2,1.1400000000000001,0.5939696961966999,0.72,1.56,4.0
AlNiO3,2,1.12,0.056568542494923615,1.08,1.16,3.0
AlNiSO2,2,1.23,0.1272792206135787,1.14,1.32,4.0
AlOsN2O,2,1.8599999999999999,0.16970562748477147,1.74,1.98,4.0
AlOsN3,2,1.35,0.3818376618407357,1.08,1.62,3.0
AlOsNO2,2,1.78,0.05656854249492385,1.74,1.82,4.0
AlOsNOF,2,1.85,0.0989949493661165,1.78,1.92,5.0
AlOsO2F,2,1.72,0.28284271247461895,1.52,1.92,4.0
AlOsO3,2,1.63,0.12727922061357844,1.54,1.72,3.0
AlOsSO2,2,1.47,0.014142135623730963,1.46,1.48,4.0
AlPbN2O,2,1.59,0.3818376618407357,1.32,1.86,4.0
AlPbN3,2,1.79,0.3818376618407357,1.52,2.06,3.0
AlPbNO2,2,1.2999999999999998,0.5091168824543141,0.94,1.66,4.0
AlPbNOF,2,1.3800000000000001,0.9899494936611667,0.68,2.08,5.0
AlPbO2F,2,0.96,1.0748023074035522,0.2,1.72,4.0
AlPbO3,2,1.03,0.7212489168102785,0.52,1.54,3.0
AlPbSO2,2,1.27,0.5232590180780451,0.9,1.64,4.0
AlPdN2O,2,1.5699999999999998,0.2121320343559642,1.42,1.72,4.0
AlPdN3,2,1.75,0.09899494936611673,1.68,1.82,3.0
AlPdNO2,2,1.56,0.14142135623730956,1.46,1.66,4.0
AlPdNOF,2,1.71,0.6929646455628167,1.22,2.2,5.0
AlPdO2F,2,1.44,0.8202438661763952,0.86,2.02,4.0
AlPdO3,2,1.37,0.3535533905932738,1.12,1.62,3.0
AlPdSO2,2,1.3399999999999999,0.22627416997969516,1.18,1.5,4.0
AlPtN2O,2,1.5299999999999998,0.15556349186104051,1.42,1.64,4.0
AlPtN3,2,1.75,0.24041630560342606,1.58,1.92,3.0
AlPtNO2,2,1.66,0.0,1.66,1.66,4.0
AlPtNOF,2,1.85,0.5515432893255072,1.46,2.24,5.0
AlPtO2F,2,1.6400000000000001,0.6788225099390857,1.16,2.12,4.0
AlPtO3,2,1.54,0.22627416997969532,1.38,1.7,3.0
AlPtSO2,2,1.5,0.28284271247461895,1.3,1.7,4.0
AlReN2O,2,1.53,0.3818376618407357,1.26,1.8,4.0
AlReN3,2,1.6099999999999999,0.4666904755831214,1.28,1.94,3.0
AlReNO2,2,1.44,0.25455844122715726,1.26,1.62,4.0
AlReNOF,2,1.57,0.04242640687119289,1.54,1.6,5.0
AlReO2F,2,1.48,0.08485281374238578,1.42,1.54,4.0
AlReO3,2,1.3,0.08485281374238578,1.24,1.36,3.0
AlReSO2,2,1.3900000000000001,0.04242640687119281,1.36,1.42,4.0
AlRhN2O,2,1.4,0.08485281374238554,1.34,1.46,4.0
AlRhN3,2,1.4300000000000002,0.0989949493661165,1.36,1.5,3.0
AlRhNO2,2,1.31,0.1838477631085023,1.18,1.44,4.0
AlRhNOF,2,1.67,0.4666904755831214,1.34,2.0,5.0
AlRhO2F,2,1.44,0.6505382386916236,0.98,1.9,4.0
AlRhO3,2,1.31,0.15556349186104051,1.2,1.42,3.0
AlRhSO2,2,1.3599999999999999,0.1979898987322334,1.22,1.5,4.0
AlRuN2O,2,1.8199999999999998,0.11313708498984763,1.74,1.9,4.0
AlRuN3,2,1.33,0.24041630560342614,1.16,1.5,3.0
AlRuNO2,2,1.69,0.21213203435596437,1.54,1.84,4.0
AlRuNOF,2,1.63,0.3535533905932738,1.38,1.88,5.0
AlRuO2F,2,1.4100000000000001,0.5515432893255071,1.02,1.8,4.0
AlRuO3,2,1.37,0.5232590180780451,1.0,1.74,3.0
AlRuSO2,2,1.43,0.014142135623730963,1.42,1.44,4.0
AlSbN2O,2,1.24,0.08485281374238578,1.18,1.3,4.0
AlSbN3,2,1.81,0.3818376618407357,1.54,2.08,3.0
AlSbNO2,2,1.27,0.4666904755831215,0.94,1.6,4.0
AlSbNOF,2,1.27,0.6363961030678928,0.82,1.72,5.0
AlSbO2F,2,1.05,0.551543289325507,0.66,1.44,4.0
AlSbO3,2,0.86,0.7636753236814713,0.32,1.4,3.0
AlSbSO2,2,1.0899999999999999,0.4384062043356593,0.78,1.4,4.0
AlSiN2O,2,1.75,0.4666904755831215,1.42,2.08,4.0
AlSiN3,2,1.93,0.49497474683058307,1.58,2.28,3.0
AlSiNO2,2,1.52,0.42426406871192857,1.22,1.82,4.0
AlSiNOF,2,1.37,0.0989949493661165,1.3,1.44,5.0
AlSiO2F,2,1.12,0.3394112549695429,0.88,1.36,4.0
AlSiO3,2,1.21,0.24041630560342606,1.04,1.38,3.0
AlSiSO2,2,1.28,0.08485281374238578,1.22,1.34,4.0
AlSnN2O,2,1.25,0.1272792206135787,1.16,1.34,4.0
AlSnN3,2,1.53,0.014142135623730963,1.52,1.54,3.0
AlSnNO2,2,0.9500000000000001,0.24041630560342622,0.78,1.12,4.0
AlSnNOF,2,1.17,0.6363961030678927,0.72,1.62,5.0
AlSnO2F,2,0.78,0.7353910524340095,0.26,1.3,4.0
AlSnO3,2,0.73,0.46669047558312143,0.4,1.06,3.0
AlSnSO2,2,1.12,0.311126983722081,0.9,1.34,4.0
AlTeN2O,2,1.46,0.028284271247461926,1.44,1.48,4.0
AlTeN3,2,1.92,0.3111269837220811,1.7,2.14,3.0
AlTeNO2,2,1.52,0.5091168824543141,1.16,1.88,4.0
AlTeNOF,2,1.4700000000000002,0.5232590180780451,1.1,1.84,5.0
AlTeO2F,2,1.26,0.45254833995939053,0.94,1.58,4.0
AlTeO3,2,1.27,0.5798275605729689,0.86,1.68,3.0
AlTeSO2,2,1.32,0.42426406871192857,1.02,1.62,4.0
AlTlN2O,2,2.2800000000000002,0.9899494936611667,1.58,2.98,4.0
AlTlN3,2,2.47,0.9475230867899738,1.8,3.14,3.0
AlTlNO2,2,1.9,1.0182337649086286,1.18,2.62,4.0
AlTlNOF,2,1.67,0.9758073580374355,0.98,2.36,5.0
AlTlO2F,2,1.22,1.0182337649086284,0.5,1.94,4.0
AlTlO3,2,1.52,1.0748023074035522,0.76,2.28,3.0
AlTlSO2,2,1.32,0.39597979746446665,1.04,1.6,4.0
AlVN2O,2,1.06,0.42426406871192857,0.76,1.36,4.0
AlVN3,2,1.58,0.0,1.58,1.58,3.0
AlVNO2,2,1.1400000000000001,0.16970562748477133,1.02,1.26,4.0
AlVNOF,2,1.02,0.1131370849898477,0.94,1.1,5.0
AlVO2F,2,0.71,0.35355339059327373,0.46,0.96,4.0
AlVO3,2,0.75,0.2969848480983499,0.54,0.96,3.0
AlVSO2,2,0.99,0.014142135623730963,0.98,1.0,4.0
AlWN2O,2,1.0899999999999999,0.15556349186104035,0.98,1.2,4.0
AlWN3,2,1.2,0.6505382386916236,0.74,1.66,3.0
AlWNO2,2,1.19,0.15556349186104035,1.08,1.3,4.0
AlWNOF,2,1.4,0.056568542494923615,1.36,1.44,5.0
AlWO2F,2,1.31,0.014142135623730963,1.3,1.32,4.0
AlWO3,2,1.05,0.07071067811865482,1.0,1.1,3.0
AlWSO2,2,1.3900000000000001,0.1272792206135786,1.3,1.48,4.0
AlZnN2O,2,1.71,0.12727922061357844,1.62,1.8,4.0
AlZnN3,2,1.76,0.14142135623730964,1.66,1.86,3.0
AlZnNO2,2,1.3900000000000001,0.26870057685088805,1.2,1.58,4.0
AlZnNOF,2,1.51,0.6646803743153546,1.04,1.98,5.0
AlZnO2F,2,0.82,0.565685424949238,0.42,1.22,4.0
AlZnO3,2,1.03,0.29698484809834996,0.82,1.24,3.0
AlZnSO2,2,1.6600000000000001,0.7071067811865476,1.16,2.16,4.0
AsAuN2O,2,1.87,0.014142135623730727,1.86,1.88,4.0
AsAuN3,2,2.35,0.4101219330881976,2.06,2.64,3.0
AsAuNO2,2,1.71,0.09899494936611673,1.64,1.78,4.0
AsAuNOF,2,1.56,0.5656854249492381,1.16,1.96,5.0
AsAuO2F,2,1.4300000000000002,0.5515432893255071,1.04,1.82,4.0
AsAuO3,2,1.58,0.22627416997969516,1.42,1.74,3.0
AsAuSO2,2,1.27,0.268700576850888,1.08,1.46,4.0
AsIrN2O,2,1.67,0.551543289325507,1.28,2.06,4.0
AsIrN3,2,1.9500000000000002,0.21213203435596437,1.8,2.1,3.0
AsIrNO2,2,1.6400000000000001,0.5091168824543143,1.28,2.0,4.0
AsIrNOF,2,1.64,0.36769552621700474,1.38,1.9,5.0
AsIrO2F,2,1.41,0.04242640687119289,1.38,1.44,4.0
AsIrO3,2,1.4300000000000002,0.0989949493661165,1.36,1.5,3.0
AsIrSO2,2,1.16,0.028284271247461926,1.14,1.18,4.0
AsOsN2O,2,1.3199999999999998,0.2545584412271571,1.14,1.5,4.0
AsOsN3,2,1.9000000000000001,0.42426406871192857,1.6,2.2,3.0
AsOsNO2,2,1.78,0.45254833995939053,1.46,2.1,4.0
AsOsNOF,2,1.7200000000000002,0.6505382386916237,1.26,2.18,5.0
AsOsO2F,2,1.48,0.16970562748477147,1.36,1.6,4.0
AsOsO3,2,1.5699999999999998,0.1272792206135786,1.48,1.66,3.0
AsOsSO2,2,1.25,0.1838477631085022,1.12,1.38,4.0
AsPbN2O,2,1.41,0.3535533905932738,1.16,1.66,4.0
AsPbN3,2,2.0700000000000003,0.8061017305526641,1.5,2.64,3.0
AsPbNO2,2,1.42,0.7919595949289332,0.86,1.98,4.0
AsPbNOF,2,1.26,0.6505382386916236,0.8,1.72,5.0
AsPbO2F,2,1.0,0.6505382386916236,0.54,1.46,4.0
AsPbO3,2,0.89,0.4666904755831213,0.56,1.22,3.0
AsPbSO2,2,0.95,0.38183766184073564,0.68,1.22,4.0
AsPdN2O,2,1.44,0.22627416997969532,1.28,1.6,4.0
AsPdN3,2,2.08,0.2545584412271572,1.9,2.26,3.0
AsPdNO2,2,1.51,0.04242640687119289,1.48,1.54,4.0
AsPdNOF,2,1.4500000000000002,0.24041630560342614,1.28,1.62,5.0
AsPdO2F,2,1.27,0.3535533905932738,1.02,1.52,4.0
AsPdO3,2,1.38,0.08485281374238571,1.32,1.44,3.0
AsPdSO2,2,1.09,0.24041630560342608,0.92,1.26,4.0
AsPtN2O,2,1.38,0.1414213562373094,1.28,1.48,4.0
AsPtN3,2,2.1,0.05656854249492385,2.06,2.14,3.0
AsPtNO2,2,1.6400000000000001,0.2545584412271571,1.46,1.82,4.0
AsPtNOF,2,1.63,0.07071067811865459,1.58,1.68,5.0
AsPtO2F,2,1.47,0.24041630560342606,1.3,1.64,4.0
