element_set,group_size,target_mean,target_std,target_min,target_max,n_unique_elements_mean
Ag-N-O-Re,4,1.795,1.2558529637926037,0.64,2.96,4.0
Ag-N-O-Rh,4,1.8900000000000001,0.2253885533916928,1.64,2.18,4.0
Ag-N-O-Ru,4,1.7650000000000001,0.40311288741492757,1.36,2.22,4.0
Ag-N-O-Sb,4,1.48,0.2566450207322688,1.14,1.76,4.0
Ag-N-O-Sc,4,1.7349999999999999,0.23629078131263043,1.4,1.92,4.0
Ag-N-O-Si,4,1.845,0.5888689724095391,1.24,2.36,4.0
Ag-N-O-Sn,4,1.48,0.26683328128252665,1.14,1.78,4.0
Ag-N-O-Sr,4,2.165,0.5909032633745278,1.46,2.9,4.0
Ag-N-O-Ta,4,1.24,0.652584604987481,0.58,1.84,4.0
Ag-N-O-Te,4,1.75,0.3210399767422535,1.36,2.14,4.0
Ag-N-O-Ti,4,1.68,0.619462132283591,1.04,2.44,4.0
Ag-N-O-Tl,4,2.145,0.2235322497239866,1.92,2.44,4.0
Ag-N-O-V,4,1.435,0.644437739428721,0.82,2.18,4.0
Ag-N-O-W,4,1.175,0.7045329422153848,0.46,1.8,4.0
Ag-N-O-Y,4,1.815,0.13,1.7,2.0,4.0
Ag-N-O-Zn,4,2.175,0.285832118559129,1.82,2.52,4.0
Ag-N-O-Zr,4,1.415,0.3638223009474085,1.0,1.74,4.0
Al-As-N-O,4,1.36,0.17435595774162696,1.26,1.62,4.0
Al-Au-N-O,4,1.76,0.2979932885150268,1.42,2.02,4.0
Al-B-N-O,4,2.215,0.6289409087240762,1.54,2.88,4.0
Al-Ba-N-O,4,1.475,0.7079312584330957,0.62,2.16,4.0
Al-Be-N-O,4,1.825,0.1644181660685136,1.58,1.92,4.0
Al-Bi-N-O,4,1.3,0.4348179695765421,0.76,1.7,4.0
Al-Ca-N-O,4,1.4100000000000001,0.5252301083017487,0.72,1.96,4.0
Al-Cd-N-O,4,1.7449999999999999,0.7840705750547374,1.02,2.84,4.0
Al-Co-N-O,4,1.28,0.12543258481484526,1.18,1.44,4.0
Al-Cr-N-O,4,1.315,0.2187083293643233,1.02,1.5,4.0
Al-Cs-N-O,4,2.475,1.188879023842768,1.28,4.12,4.0
Al-Cu-N-O,4,1.53,0.15448840301675304,1.38,1.74,4.0
Al-Fe-N-O,4,1.1400000000000001,0.09933109617167557,1.02,1.24,4.0
Al-Ga-N-O,4,1.34,0.1973153144926498,1.12,1.56,4.0
Al-Ge-N-O,4,1.13,0.2840187787218773,0.9,1.52,4.0
Al-Hf-N-O,4,1.065,0.27970222261064226,0.8,1.46,4.0
Al-Hg-N-O,4,1.98,0.6288614049746306,1.32,2.76,4.0
Al-In-N-O,4,1.33,0.33005050118630824,0.9,1.7,4.0
Al-Ir-N-O,4,1.67,0.34890304288345386,1.32,1.98,4.0
Al-K-N-O,4,2.295,1.404029914211232,1.02,4.3,4.0
Al-La-N-O,4,1.4649999999999999,1.1480272935199174,0.34,2.58,4.0
Al-Li-N-O,4,1.8900000000000001,0.7477076077362506,1.28,2.94,4.0
Al-Mg-N-O,4,1.57,0.7586830695356265,0.94,2.64,4.0
Al-Mn-N-O,4,1.3599999999999999,0.2943920288775949,0.96,1.66,4.0
Al-Mo-N-O,4,1.13,0.2563851269737254,0.78,1.38,4.0
Al-N-Na-O,4,1.6600000000000001,0.47581509013481277,1.02,2.16,4.0
Al-N-Nb-O,4,0.735,0.057445626465380276,0.66,0.78,4.0
Al-N-Ni-O,4,1.3900000000000001,0.35795716689756807,1.04,1.86,4.0
Al-N-O-Os,4,1.82,0.1131370849898476,1.74,1.98,4.0
Al-N-O-Pb,4,1.445,0.40377386410382393,0.94,1.86,4.0
Al-N-O-Pd,4,1.565,0.14730919862656236,1.42,1.72,4.0
Al-N-O-Pt,4,1.595,0.11704699910719615,1.42,1.66,4.0
Al-N-O-Rb,4,2.775,1.4794030327579208,1.12,4.4,4.0
Al-N-O-Re,4,1.485,0.26999999999999996,1.26,1.8,4.0
Al-N-O-Rh,4,1.355,0.12793227374930324,1.18,1.46,4.0
Al-N-O-Ru,4,1.755,0.15779733838059493,1.54,1.9,4.0
Al-N-O-Sb,4,1.255,0.27440845468024483,0.94,1.6,4.0
Al-N-O-Sc,4,1.15,0.25429641497014205,0.84,1.46,4.0
Al-N-O-Si,4,1.635,0.3875994496040125,1.22,2.08,4.0
Al-N-O-Sn,4,1.1,0.23380903889000243,0.78,1.34,4.0
Al-N-O-Sr,4,2.085,1.3185218997043622,0.62,3.54,4.0
Al-N-O-Ta,4,0.795,0.21992422937608921,0.58,1.1,4.0
Al-N-O-Te,4,1.49,0.29642312100554286,1.16,1.88,4.0
Al-N-O-Ti,4,0.81,0.15448840301675293,0.66,0.98,4.0
Al-N-O-Tl,4,2.09,0.8487638069569177,1.18,2.98,4.0
Al-N-O-V,4,1.1,0.2678307923546756,0.76,1.36,4.0
Al-N-O-W,4,1.1400000000000001,0.13952299690970904,0.98,1.3,4.0
Al-N-O-Y,4,1.315,0.7378120808625098,0.58,2.18,4.0
Al-N-O-Zn,4,1.55,0.2521904042583699,1.2,1.8,4.0
Al-N-O-Zr,4,0.83,0.15874507866387547,0.66,1.04,4.0
As-Au-N-O,4,1.79,0.10893423092245466,1.64,1.88,4.0
As-B-N-O,4,1.83,0.5102940328869231,1.34,2.52,4.0
As-Ba-N-O,4,1.5350000000000001,0.8476437931112337,0.62,2.54,4.0
As-Be-N-O,4,1.665,0.22531459488161582,1.42,1.94,4.0
As-Bi-N-O,4,1.24,0.4551922670696417,0.78,1.78,4.0
As-Ca-N-O,4,1.525,0.6853466276272174,0.74,2.3,4.0
As-Cd-N-O,4,1.77,0.6726068688320095,1.04,2.48,4.0
As-Co-N-O,4,1.22,0.1751190071541826,1.04,1.46,4.0
As-Cr-N-O,4,0.875,0.2578759391645526,0.56,1.14,4.0
As-Cs-N-O,4,2.48,1.151810169544733,1.12,3.8,4.0
As-Cu-N-O,4,1.435,0.14730919862656233,1.26,1.62,4.0
As-Fe-N-O,4,1.185,0.1037625494418225,1.06,1.28,4.0
As-Ga-N-O,4,1.25,0.142828568570857,1.1,1.44,4.0
As-Ge-N-O,4,0.925,0.15524174696260024,0.72,1.08,4.0
As-Hf-N-O,4,1.175,0.16360521589077376,0.98,1.32,4.0
As-Hg-N-O,4,1.835,0.4588027898781783,1.34,2.38,4.0
As-In-N-O,4,1.37,0.3255764119219941,0.98,1.74,4.0
As-Ir-N-O,4,1.655,0.433704968844029,1.28,2.06,4.0
As-K-N-O,4,2.035,0.8560957890329796,0.92,2.92,4.0
As-La-N-O,4,1.435,0.9145308451149512,0.6,2.36,4.0
As-Li-N-O,4,1.93,0.6886702161896262,1.1,2.76,4.0
As-Mg-N-O,4,1.52,0.42174241743825897,0.98,1.92,4.0
As-Mn-N-O,4,0.935,0.17540429489230486,0.68,1.06,4.0
As-Mo-N-O,4,1.185,0.2106339637063944,0.98,1.48,4.0
As-N-Na-O,4,1.81,0.6851763763197523,0.9,2.5,4.0
As-N-Nb-O,4,0.8350000000000001,0.30740852297878796,0.54,1.12,4.0
As-N-Ni-O,4,1.31,0.15705625319186334,1.18,1.52,4.0
As-N-O-Os,4,1.55,0.4004996878900158,1.14,2.1,4.0
As-N-O-Pb,4,1.415,0.5007660797884244,0.86,1.98,4.0
As-N-O-Pd,4,1.475,0.13892443989449807,1.28,1.6,4.0
As-N-O-Pt,4,1.51,0.22538855339169292,1.28,1.82,4.0
As-N-O-Rb,4,2.525,1.28191263352851,1.0,3.92,4.0
As-N-O-Re,4,1.17,0.33366650016645866,0.76,1.48,4.0
As-N-O-Rh,4,1.38,0.17663521732655685,1.26,1.64,4.0
As-N-O-Ru,4,1.435,0.21563858652847823,1.2,1.68,4.0
As-N-O-Sb,4,0.99,0.20165977949672234,0.82,1.28,4.0
As-N-O-Sc,4,1.47,0.415210789840534,1.06,1.96,4.0
As-N-O-Si,4,1.2,0.36769552621700463,0.8,1.56,4.0
As-N-O-Sn,4,1.16,0.18184242262647812,0.92,1.36,4.0
As-N-O-Sr,4,1.885,1.1175419455215092,0.64,3.1,4.0
As-N-O-Ta,4,0.98,0.35213633723318016,0.56,1.3,4.0
As-N-O-Te,4,1.26,0.23832750575625974,1.06,1.6,4.0
As-N-O-Ti,4,1.195,0.12041594578792304,1.08,1.36,4.0
As-N-O-Tl,4,1.7000000000000002,0.48798907091586924,1.12,2.22,4.0
As-N-O-V,4,0.9650000000000001,0.24677925358506134,0.64,1.24,4.0
As-N-O-W,4,0.99,0.36823905279043945,0.54,1.32,4.0
As-N-O-Y,4,1.475,0.649589614038484,0.92,2.16,4.0
As-N-O-Zn,4,1.505,0.29045940622859273,1.22,1.82,4.0
As-N-O-Zr,4,1.075,0.29860788111948194,0.8,1.5,4.0
Au-B-N-O,4,2.45,0.462601340248815,2.02,2.86,4.0
Au-Ba-N-O,4,1.94,0.7018071909957415,1.3,2.94,4.0
Au-Be-N-O,4,2.2800000000000002,0.12961481396815705,2.12,2.42,4.0
Au-Bi-N-O,4,1.655,0.1652271164185831,1.46,1.86,4.0
Au-Ca-N-O,4,1.8250000000000002,0.24020824298928622,1.58,2.06,4.0
Au-Cd-N-O,4,1.9000000000000001,0.17358955421722047,1.74,2.06,4.0
Au-Co-N-O,4,1.81,0.23352373184182645,1.58,2.04,4.0
Au-Cr-N-O,4,1.445,0.33560889936551636,1.12,1.8,4.0
Au-Cs-N-O,4,2.515,0.55169435982858,1.74,2.92,4.0
Au-Cu-N-O,4,2.12,0.12754084313139327,2.0,2.3,4.0
Au-Fe-N-O,4,1.69,0.2605123157677323,1.46,1.98,4.0
Au-Ga-N-O,4,1.76,0.14696938456699069,1.64,1.96,4.0
Au-Ge-N-O,4,1.5350000000000001,0.27874719729532704,1.24,1.82,4.0
Au-Hf-N-O,4,1.7049999999999998,0.5683602144180513,1.16,2.46,4.0
Au-Hg-N-O,4,2.3600000000000003,0.2943920288775948,2.1,2.72,4.0
Au-In-N-O,4,1.615,0.1611417595369576,1.44,1.78,4.0
Au-Ir-N-O,4,1.945,0.1754042948923049,1.76,2.14,4.0
Au-K-N-O,4,2.7399999999999998,0.9328093767396065,1.64,3.86,4.0
Au-La-N-O,4,1.7999999999999998,0.5025269478678067,1.3,2.36,4.0
Au-Li-N-O,4,2.485,0.44373415464667576,1.92,3.0,4.0
Au-Mg-N-O,4,2.065,0.33000000000000007,1.7,2.48,4.0
Au-Mn-N-O,4,1.545,0.2792251182588462,1.26,1.88,4.0
Au-Mo-N-O,4,1.3900000000000001,0.5317894320123333,0.9,1.86,4.0
Au-N-Na-O,4,2.2800000000000002,0.3922584182228173,1.74,2.66,4.0
Au-N-Nb-O,4,1.265,0.55,0.76,1.78,4.0
Au-N-Ni-O,4,1.87,0.15705625319186325,1.7,2.04,4.0
Au-N-O-Os,4,1.895,0.4809365862564417,1.44,2.34,4.0
Au-N-O-Pb,4,1.8150000000000002,0.18064698539785642,1.58,2.02,4.0
Au-N-O-Pd,4,2.135,0.13988090172238168,2.0,2.32,4.0
Au-N-O-Pt,4,1.975,0.14821156050277137,1.84,2.14,4.0
Au-N-O-Rb,4,2.8499999999999996,0.9983319421247958,1.68,4.04,4.0
Au-N-O-Re,4,1.69,0.8687922651589388,0.94,2.8,4.0
Au-N-O-Rh,4,1.985,0.19621416870348593,1.7,2.14,4.0
Au-N-O-Ru,4,1.9100000000000001,0.2720294101747089,1.62,2.18,4.0
Au-N-O-Sb,4,1.565,0.14548768561863468,1.38,1.7,4.0
Au-N-O-Sc,4,1.87,0.161245154965971,1.74,2.1,4.0
Au-N-O-Si,4,1.9449999999999998,0.44911023145771234,1.5,2.38,4.0
Au-N-O-Sn,4,1.52,0.12543258481484523,1.38,1.68,4.0
Au-N-O-Sr,4,2.02,0.43726422218150895,1.42,2.46,4.0
Au-N-O-Ta,4,1.29,0.6130796576846004,0.74,1.86,4.0
Au-N-O-Te,4,1.645,0.11818065267490553,1.48,1.74,4.0
Au-N-O-Ti,4,1.475,0.4379878232706172,1.02,1.86,4.0
Au-N-O-Tl,4,2.2199999999999998,0.3398038649966575,1.86,2.66,4.0
Au-N-O-V,4,1.48,0.5917206548138518,0.96,2.18,4.0
Au-N-O-W,4,1.335,0.6421578206848116,0.74,1.92,4.0
Au-N-O-Y,4,1.9100000000000001,0.23466287875730718,1.7,2.22,4.0
Au-N-O-Zn,4,1.96,0.14696938456699069,1.74,2.04,4.0
Au-N-O-Zr,4,1.42,0.35023801430836526,1.06,1.74,4.0
B-Ba-N-O,4,2.4450000000000003,1.1466327514364252,1.32,3.92,4.0
B-Be-N-O,4,1.975,0.20550750189064465,1.74,2.24,4.0
B-Bi-N-O,4,1.96,0.5835523398405094,1.32,2.54,4.0
B-Ca-N-O,4,2.085,0.6514343149287323,1.3,2.66,4.0
B-Cd-N-O,4,2.5949999999999998,1.0127684829219363,1.58,3.6,4.0
B-Co-N-O,4,1.735,0.1569500982265807,1.58,1.88,4.0
B-Cr-N-O,4,1.585,0.5149433625814266,1.18,2.34,4.0
B-Cs-N-O,4,2.955,0.7523075612185927,2.02,3.84,4.0
B-Cu-N-O,4,2.3049999999999997,0.7338255923582934,1.7,3.32,4.0
B-Fe-N-O,4,1.6400000000000001,0.13564659966250542,1.48,1.78,4.0
B-Ga-N-O,4,2.24,0.7339391437078874,1.48,3.0,4.0
B-Ge-N-O,4,1.8,0.4492957452131798,1.34,2.4,4.0
B-Hf-N-O,4,1.795,0.768960337078578,1.06,2.6,4.0
B-Hg-N-O,4,2.815,0.9259769615564599,1.92,3.72,4.0
B-In-N-O,4,2.17,0.7937253933193773,1.42,3.22,4.0
B-Ir-N-O,4,1.9300000000000002,0.24522098876999368,1.7,2.18,4.0
B-K-N-O,4,2.915,1.2646343345014794,1.66,4.66,4.0
B-La-N-O,4,2.135,1.2041456168863742,1.0,3.32,4.0
B-Li-N-O,4,2.085,0.2972653135948873,1.66,2.34,4.0
B-Mg-N-O,4,2.465,1.012768482921936,1.38,3.54,4.0
B-Mn-N-O,4,1.51,0.1777638883463119,1.28,1.7,4.0
B-Mo-N-O,4,1.37,0.150996688705415,1.22,1.5,4.0
B-N-Na-O,4,2.265,0.5605651909754417,1.54,2.9,4.0
B-N-Nb-O,4,1.3,0.2545584412271571,1.06,1.6,4.0
B-N-Ni-O,4,1.815,0.266020049369717,1.52,2.04,4.0
B-N-O-Os,4,2.03,0.347371079203014,1.72,2.36,4.0
B-N-O-Pb,4,2.2800000000000002,0.7227724399837061,1.54,3.04,4.0
B-N-O-Pd,4,2.11,0.42848570571257094,1.7,2.48,4.0
B-N-O-Pt,4,2.09,0.3704051835490426,1.76,2.44,4.0
B-N-O-Rb,4,3.4,1.4278188493876478,1.82,4.96,4.0
B-N-O-Re,4,1.68,0.19183326093250877,1.5,1.9,4.0
B-N-O-Rh,4,2.1,0.6414566755959958,1.6,2.96,4.0
B-N-O-Ru,4,2.08,0.5796550698475776,1.56,2.64,4.0
B-N-O-Sb,4,1.94,0.6837153403768755,1.22,2.68,4.0
B-N-O-Sc,4,2.12,0.9330952077181978,1.24,3.06,4.0
B-N-O-Si,4,1.815,0.4482186966202995,1.52,2.48,4.0
B-N-O-Sn,4,2.0700000000000003,0.7030410135025315,1.34,2.82,4.0
B-N-O-Sr,4,2.67,1.289806186990898,1.26,4.04,4.0
B-N-O-Ta,4,1.28,0.16733200530681522,1.14,1.5,4.0
B-N-O-Te,4,2.005,0.7611175993235211,1.24,2.8,4.0
B-N-O-Ti,4,1.7750000000000001,0.6822267462752639,1.08,2.5,4.0
B-N-O-Tl,4,2.6950000000000003,0.9126335518706289,1.76,3.62,4.0
B-N-O-V,4,1.325,0.1907004632051706,1.08,1.52,4.0
B-N-O-W,4,1.34,0.05163977794943224,1.28,1.4,4.0
B-N-O-Y,4,2.1100000000000003,1.0803085978861162,1.1,3.16,4.0
B-N-O-Zn,4,2.0700000000000003,0.40282336906722116,1.6,2.54,4.0
B-N-O-Zr,4,1.5999999999999999,0.6509480265991543,0.96,2.3,4.0
Ba-Be-N-O,4,2.3850000000000002,1.0246788114656546,1.4,3.72,4.0
Ba-Bi-N-O,4,1.46,0.6099180272790762,0.7,2.02,4.0
Ba-Ca-N-O,4,1.805,0.4373785545725806,1.32,2.34,4.0
Ba-Cd-N-O,4,1.715,0.6398697784184946,1.12,2.62,4.0
Ba-Co-N-O,4,1.73,1.0503967504392488,0.78,3.18,4.0
Ba-Cr-N-O,4,1.07,0.7325753658611971,0.22,1.82,4.0
Ba-Cs-N-O,4,2.195,0.5956229232212832,1.64,2.84,4.0
Ba-Cu-N-O,4,1.8450000000000002,0.8068663664655586,1.1,2.98,4.0
Ba-Fe-N-O,4,1.5950000000000002,1.0908559330482952,0.56,3.08,4.0
Ba-Ga-N-O,4,1.675,0.9604686356149275,0.62,2.74,4.0
Ba-Ge-N-O,4,1.205,0.5991939029507338,0.46,1.8,4.0
Ba-Hf-N-O,4,1.7999999999999998,1.596162063618019,0.14,3.34,4.0
Ba-Hg-N-O,4,1.9700000000000002,0.5074117328823473,1.32,2.48,4.0
Ba-In-N-O,4,1.6099999999999999,0.8020806277010643,0.7,2.52,4.0
Ba-Ir-N-O,4,1.825,1.3249779872385303,0.76,3.7,4.0
Ba-K-N-O,4,2.335,0.6802695544169727,1.58,3.04,4.0
Ba-La-N-O,4,1.365,0.5294966162938783,0.78,2.06,4.0
Ba-Li-N-O,4,2.18,0.6790189000805992,1.38,3.04,4.0
Ba-Mg-N-O,4,1.795,0.802226069550639,1.02,2.92,4.0
Ba-Mn-N-O,4,1.175,0.6959645584846017,0.34,1.94,4.0
Ba-Mo-N-O,4,1.26,1.4550143183717013,-0.04,3.16,4.0
Ba-N-Na-O,4,2.17,0.5439362707768868,1.66,2.86,4.0
Ba-N-Nb-O,4,1.6,1.7348967308363534,-0.14,3.2,4.0
Ba-N-Ni-O,4,1.8,0.9665057337301902,0.94,3.16,4.0
Ba-N-O-Os,4,1.74,1.4529969029560938,0.56,3.74,4.0
Ba-N-O-Pb,4,1.605,0.598303156156364,0.88,2.3,4.0
Ba-N-O-Pd,4,1.805,0.8220908303425682,1.08,2.98,4.0
Ba-N-O-Pt,4,1.8499999999999999,1.0104124570359045,1.0,3.3,4.0
Ba-N-O-Rb,4,2.285,0.6551081335677849,1.54,3.02,4.0
Ba-N-O-Re,4,1.7850000000000001,1.8289796791289583,0.12,3.58,4.0
Ba-N-O-Rh,4,1.735,1.0383801487573487,0.84,3.2,4.0
Ba-N-O-Ru,4,1.67,1.1992775603114845,0.62,3.3,4.0
Ba-N-O-Sb,4,1.28,0.8257521823565874,0.36,2.2,4.0
Ba-N-O-Sc,4,1.585,0.990538574042761,0.58,2.92,4.0
Ba-N-O-Si,4,1.55,0.8271235296697423,0.6,2.32,4.0
Ba-N-O-Sn,4,1.445,0.9063295942058457,0.42,2.44,4.0
Ba-N-O-Sr,4,1.885,0.5084289527554464,1.34,2.42,4.0
Ba-N-O-Ta,4,1.4449999999999998,1.650969412193939,-0.02,3.58,4.0
Ba-N-O-Te,4,1.6949999999999998,1.0768317726862755,0.56,2.82,4.0
Ba-N-O-Ti,4,1.75,1.5176736583776282,0.18,3.26,4.0
Ba-N-O-Tl,4,1.785,0.49595026632381867,1.14,2.34,4.0
Ba-N-O-V,4,1.625,1.5410277955529117,0.08,3.0,4.0
Ba-N-O-W,4,1.305,1.676852209746981,-0.14,3.5,4.0
Ba-N-O-Y,4,1.67,0.8426149773176358,0.68,2.56,4.0
Ba-N-O-Zn,4,1.755,0.8127935367197092,0.98,2.9,4.0
Ba-N-O-Zr,4,1.09,0.7977468270071653,0.14,1.88,4.0
Be-Bi-N-O,4,1.895,0.4837010095778864,1.34,2.48,4.0
Be-Ca-N-O,4,2.49,1.0775899034419354,1.34,3.68,4.0
Be-Cd-N-O,4,2.41,0.7684616667949895,1.56,3.2,4.0
Be-Co-N-O,4,1.6,0.1986621923433512,1.36,1.84,4.0
Be-Cr-N-O,4,1.59,0.1935630818794397,1.4,1.86,4.0
Be-Cs-N-O,4,2.975,1.1152727618539482,1.92,4.54,4.0
Be-Cu-N-O,4,2.005,0.16921386861996085,1.8,2.18,4.0
Be-Fe-N-O,4,1.44,0.2178684618449092,1.18,1.7,4.0
Be-Ga-N-O,4,1.895,0.1927865832122834,1.7,2.16,4.0
Be-Ge-N-O,4,1.595,0.20157711510321133,1.36,1.8,4.0
Be-Hf-N-O,4,1.355,0.3304037933599836,1.06,1.82,4.0
Be-Hg-N-O,4,2.45,0.5147167505855365,1.9,3.1,4.0
Be-In-N-O,4,2.13,0.6285432894134393,1.42,2.82,4.0
Be-Ir-N-O,4,1.72,0.10327955589886448,1.6,1.84,4.0
Be-K-N-O,4,3.165,1.3125420628180517,1.72,4.7,4.0
Be-La-N-O,4,1.69,0.8595347578777721,0.88,2.7,4.0
Be-Li-N-O,4,2.095,0.31890437438203945,1.8,2.4,4.0
Be-Mg-N-O,4,2.275,0.700547405010301,1.48,3.12,4.0
Be-Mn-N-O,4,1.29,0.25845695966640175,1.0,1.6,4.0
Be-Mo-N-O,4,1.21,0.24576411454889016,0.96,1.5,4.0
Be-N-Na-O,4,2.135,0.40837074658533845,1.64,2.56,4.0
Be-N-Nb-O,4,0.985,0.20936411663256274,0.74,1.22,4.0
Be-N-Ni-O,4,1.7000000000000002,0.15405626677721798,1.54,1.86,4.0
Be-N-O-Os,4,1.885,0.1962141687034859,1.64,2.08,4.0
Be-N-O-Pb,4,1.9,0.30331501776206193,1.52,2.26,4.0
Be-N-O-Pd,4,1.915,0.14730919862656236,1.74,2.1,4.0
Be-N-O-Pt,4,1.885,0.09574271077563379,1.78,2.0,4.0
Be-N-O-Rb,4,2.94,1.2620618051426802,1.92,4.78,4.0
Be-N-O-Re,4,1.305,0.30435724623102595,0.86,1.52,4.0
Be-N-O-Rh,4,1.72,0.1211060141638997,1.6,1.86,4.0
Be-N-O-Ru,4,1.935,0.35491783086605644,1.54,2.3,4.0
Be-N-O-Sb,4,1.8,0.33585711247493344,1.46,2.24,4.0
Be-N-O-Sc,4,1.6949999999999998,0.46256531070397683,1.26,2.3,4.0
Be-N-O-Si,4,1.525,0.21377558326431953,1.22,1.72,4.0
Be-N-O-Sn,4,1.575,0.21501937897160184,1.36,1.76,4.0
Be-N-O-Sr,4,2.61,1.1978313737751234,1.28,3.92,4.0
Be-N-O-Ta,4,0.935,0.2137755832643195,0.68,1.2,4.0
Be-N-O-Te,4,1.6600000000000001,0.3460250472629595,1.28,2.12,4.0
Be-N-O-Ti,4,1.42,0.46989360497882926,0.94,1.98,4.0
Be-N-O-Tl,4,2.345,0.5294966162938783,1.74,2.96,4.0
Be-N-O-V,4,1.1600000000000001,0.28612351645166567,0.78,1.4,4.0
Be-N-O-W,4,1.125,0.27049337638224463,0.76,1.34,4.0
Be-N-O-Y,4,1.88,0.885437744847146,1.04,2.76,4.0
Be-N-O-Zn,4,1.895,0.2552776266472773,1.66,2.18,4.0
Be-N-O-Zr,4,1.33,0.40016663195890456,0.92,1.86,4.0
Bi-Ca-N-O,4,1.4100000000000001,0.3725587202039432,0.96,1.82,4.0
Bi-Cd-N-O,4,1.65,0.25845695966640164,1.34,1.94,4.0
Bi-Co-N-O,4,1.2850000000000001,0.2739221300540235,0.96,1.62,4.0
Bi-Cr-N-O,4,0.905,0.40607881008493907,0.42,1.38,4.0
Bi-Cs-N-O,4,2.01,0.9310209449845905,1.04,3.26,4.0
Bi-Cu-N-O,4,1.525,0.24241837114102283,1.2,1.78,4.0
Bi-Fe-N-O,4,1.1600000000000001,0.3170699186825098,0.78,1.54,4.0
Bi-Ga-N-O,4,1.0999999999999999,0.2756809750418044,0.72,1.38,4.0
Bi-Ge-N-O,4,0.99,0.37255872020394315,0.54,1.42,4.0
Bi-Hf-N-O,4,1.33,0.7487767802667672,0.74,2.32,4.0
Bi-Hg-N-O,4,1.67,0.12806248474865692,1.54,1.78,4.0
Bi-In-N-O,4,1.34,0.25033311140691444,1.12,1.7,4.0
Bi-Ir-N-O,4,1.4,0.2597434631837086,1.08,1.64,4.0
Bi-K-N-O,4,1.73,0.597885161771612,0.98,2.36,4.0
Bi-La-N-O,4,1.095,0.23000000000000007,0.82,1.36,4.0
Bi-Li-N-O,4,1.76,0.3398038649966576,1.4,2.06,4.0
Bi-Mg-N-O,4,1.365,0.39238586450924384,1.02,1.78,4.0
Bi-Mn-N-O,4,1.105,0.41000000000000003,0.58,1.46,4.0
Bi-Mo-N-O,4,1.0,0.49986664888414656,0.56,1.5,4.0
Bi-N-Na-O,4,1.92,0.6464260720814614,1.14,2.72,4.0
Bi-N-Nb-O,4,0.915,0.5524189231612786,0.4,1.46,4.0
Bi-N-Ni-O,4,1.48,0.5552176750308536,1.0,2.28,4.0
Bi-N-O-Os,4,1.375,0.4103250743820887,1.0,1.74,4.0
Bi-N-O-Pb,4,1.17,0.22241103090149703,0.94,1.38,4.0
Bi-N-O-Pd,4,1.545,0.43278170016764805,1.22,2.18,4.0
Bi-N-O-Pt,4,1.38,0.15055453054181617,1.2,1.56,4.0
