sample_id,split_strategy,metric,nearest_train_sample_id,nearest_train_composition_distance,target
2043,random_iid,cosine,6058,2.220446049250313e-16,0.66
2066,random_iid,cosine,17464,2.220446049250313e-16,0.72
2078,random_iid,cosine,6749,3.3306690738754696e-16,1.12
2111,random_iid,cosine,1816,0.15484574527148354,1.56
2112,random_iid,cosine,6266,1.1102230246251565e-16,2.36
2117,random_iid,cosine,1267,2.220446049250313e-16,1.6
2119,random_iid,cosine,11788,2.220446049250313e-16,1.0
2127,random_iid,cosine,8701,2.220446049250313e-16,1.84
2129,random_iid,cosine,7776,3.3306690738754696e-16,1.24
2136,random_iid,cosine,12625,1.1102230246251565e-16,1.32
2145,random_iid,cosine,12756,2.220446049250313e-16,1.6
2152,random_iid,cosine,11707,0.0,0.82
2167,random_iid,cosine,1452,1.1102230246251565e-16,2.98
2174,random_iid,cosine,4626,3.3306690738754696e-16,2.36
2177,random_iid,cosine,4729,2.220446049250313e-16,1.36
2189,random_iid,cosine,12848,2.220446049250313e-16,1.44
2214,random_iid,cosine,6381,2.220446049250313e-16,2.9
2221,random_iid,cosine,4077,1.1102230246251565e-16,0.22
2232,random_iid,cosine,10285,0.08831538832289643,2.0
2238,random_iid,cosine,3649,2.220446049250313e-16,0.84
2247,random_iid,cosine,4151,0.07549967295795157,0.56
2250,random_iid,cosine,11134,0.08831538832289643,1.46
2255,random_iid,cosine,3534,3.3306690738754696e-16,0.7
2266,random_iid,cosine,3082,1.1102230246251565e-16,1.88
2267,random_iid,cosine,3317,1.1102230246251565e-16,1.16
2270,random_iid,cosine,180,0.11808289631180324,1.46
2271,random_iid,cosine,7174,2.220446049250313e-16,1.46
2279,random_iid,cosine,6765,0.08831538832289654,1.26
2281,random_iid,cosine,12271,2.220446049250313e-16,1.98
2298,random_iid,cosine,5275,2.220446049250313e-16,1.52
2300,random_iid,cosine,1941,0.15484574527148354,1.16
2301,random_iid,cosine,63,0.08013378899220025,4.0
2308,random_iid,cosine,61,2.220446049250313e-16,1.82
2312,random_iid,cosine,7003,2.220446049250313e-16,1.74
2315,random_iid,cosine,6369,2.220446049250313e-16,0.82
2319,random_iid,cosine,4943,2.220446049250313e-16,0.98
2325,random_iid,cosine,11054,1.1102230246251565e-16,1.7
2334,random_iid,cosine,17053,2.220446049250313e-16,0.38
2360,random_iid,cosine,4555,2.220446049250313e-16,1.82
2388,random_iid,cosine,9841,2.220446049250313e-16,2.92
2392,random_iid,cosine,2818,2.220446049250313e-16,0.74
2403,random_iid,cosine,9830,0.0,1.64
2405,random_iid,cosine,18138,0.0,2.14
2408,random_iid,cosine,6871,2.220446049250313e-16,1.26
2414,random_iid,cosine,18611,2.220446049250313e-16,0.76
2439,random_iid,cosine,9972,0.07549967295795157,0.84
2445,random_iid,cosine,17945,1.1102230246251565e-16,1.0
2448,random_iid,cosine,3007,1.1102230246251565e-16,0.78
2458,random_iid,cosine,11016,0.08831538832289643,0.26
2480,random_iid,cosine,3206,2.220446049250313e-16,2.36
2483,random_iid,cosine,11004,3.3306690738754696e-16,0.58
2485,random_iid,cosine,6352,1.1102230246251565e-16,2.82
2495,random_iid,cosine,1621,0.08831538832289654,1.34
2498,random_iid,cosine,14256,2.220446049250313e-16,0.6
2501,random_iid,cosine,10576,2.220446049250313e-16,2.4
2503,random_iid,cosine,16530,1.1102230246251565e-16,1.2
2516,random_iid,cosine,9673,0.0,1.24
2519,random_iid,cosine,13446,1.1102230246251565e-16,1.62
2534,random_iid,cosine,14597,2.220446049250313e-16,0.82
2540,random_iid,cosine,5292,1.1102230246251565e-16,0.86
2554,random_iid,cosine,12208,1.1102230246251565e-16,3.26
2583,random_iid,cosine,1677,0.08831538832289643,1.34
2585,random_iid,cosine,18651,2.220446049250313e-16,1.52
2589,random_iid,cosine,16753,2.220446049250313e-16,0.96
2602,random_iid,cosine,533,2.220446049250313e-16,1.3
2605,random_iid,cosine,4914,2.220446049250313e-16,1.88
2609,random_iid,cosine,18767,1.1102230246251565e-16,1.22
2614,random_iid,cosine,3097,1.1102230246251565e-16,1.42
2616,random_iid,cosine,11441,2.220446049250313e-16,2.0
2626,random_iid,cosine,458,0.08831538832289654,1.46
2635,random_iid,cosine,4890,0.08831538832289643,2.18
2647,random_iid,cosine,9100,2.220446049250313e-16,1.0
2662,random_iid,cosine,10367,0.08013378899220025,1.46
2676,random_iid,cosine,13836,2.220446049250313e-16,0.76
2677,random_iid,cosine,215,2.220446049250313e-16,1.28
2678,random_iid,cosine,11586,1.1102230246251565e-16,2.12
2680,random_iid,cosine,14864,2.220446049250313e-16,2.66
2684,random_iid,cosine,14904,2.220446049250313e-16,1.9
2697,random_iid,cosine,11542,0.0,2.0
2698,random_iid,cosine,371,0.08831538832289643,0.92
2704,random_iid,cosine,15718,1.1102230246251565e-16,1.24
2712,random_iid,cosine,11038,0.08013378899220025,1.3
2730,random_iid,cosine,16845,2.220446049250313e-16,1.46
2740,random_iid,cosine,3814,0.08013378899220025,1.16
2771,random_iid,cosine,4535,0.08831538832289643,0.94
2796,random_iid,cosine,9516,2.220446049250313e-16,2.76
2797,random_iid,cosine,10745,2.220446049250313e-16,1.14
2805,random_iid,cosine,17420,1.1102230246251565e-16,1.4
2826,random_iid,cosine,7342,2.220446049250313e-16,1.3
2848,random_iid,cosine,16362,2.220446049250313e-16,1.8
2856,random_iid,cosine,2621,0.15484574527148354,1.4
2862,random_iid,cosine,15410,1.1102230246251565e-16,0.56
2878,random_iid,cosine,3840,2.220446049250313e-16,2.96
2879,random_iid,cosine,8339,2.220446049250313e-16,1.78
2929,random_iid,cosine,1380,0.0,1.08
2937,random_iid,cosine,1130,2.220446049250313e-16,2.2
2948,random_iid,cosine,18508,2.220446049250313e-16,1.24
2954,random_iid,cosine,14185,2.220446049250313e-16,1.48
2958,random_iid,cosine,15610,2.220446049250313e-16,1.26
2959,random_iid,cosine,18541,0.08013378899220014,1.54
2968,random_iid,cosine,650,0.08013378899220025,2.42
2974,random_iid,cosine,5592,1.1102230246251565e-16,0.72
2981,random_iid,cosine,17931,2.220446049250313e-16,0.84
2998,random_iid,cosine,17742,2.220446049250313e-16,2.14
3011,random_iid,cosine,7600,0.0,1.64
3015,random_iid,cosine,6996,1.1102230246251565e-16,2.24
3023,random_iid,cosine,2528,1.1102230246251565e-16,0.98
3043,random_iid,cosine,14601,0.08831538832289654,1.22
3048,random_iid,cosine,2396,2.220446049250313e-16,0.48
3059,random_iid,cosine,18816,0.0,3.44
3073,random_iid,cosine,12690,3.3306690738754696e-16,2.14
3077,random_iid,cosine,17345,1.1102230246251565e-16,1.56
3105,random_iid,cosine,4834,1.1102230246251565e-16,1.84
3106,random_iid,cosine,4043,2.220446049250313e-16,0.42
3128,random_iid,cosine,8995,1.1102230246251565e-16,1.34
3165,random_iid,cosine,3543,1.1102230246251565e-16,1.34
3169,random_iid,cosine,10462,1.1102230246251565e-16,4.58
3194,random_iid,cosine,5542,2.220446049250313e-16,2.82
3200,random_iid,cosine,11374,1.1102230246251565e-16,1.22
3207,random_iid,cosine,10972,0.08831538832289654,1.38
3230,random_iid,cosine,4224,2.220446049250313e-16,2.12
3233,random_iid,cosine,9342,1.1102230246251565e-16,3.1
3234,random_iid,cosine,7764,2.220446049250313e-16,0.78
3245,random_iid,cosine,713,2.220446049250313e-16,1.46
3248,random_iid,cosine,6976,1.1102230246251565e-16,1.06
3263,random_iid,cosine,16779,0.08831538832289643,0.48
3268,random_iid,cosine,11009,2.220446049250313e-16,1.34
3274,random_iid,cosine,10512,0.0,0.34
3282,random_iid,cosine,1677,1.1102230246251565e-16,0.46
3287,random_iid,cosine,13283,2.220446049250313e-16,1.58
3295,random_iid,cosine,5641,2.220446049250313e-16,1.78
3298,random_iid,cosine,11238,2.220446049250313e-16,0.42
3310,random_iid,cosine,3915,0.08831538832289654,0.94
3323,random_iid,cosine,8141,2.220446049250313e-16,1.14
3341,random_iid,cosine,7844,1.1102230246251565e-16,0.0
3350,random_iid,cosine,2964,0.0,1.6
3352,random_iid,cosine,9102,2.220446049250313e-16,1.54
3353,random_iid,cosine,1909,2.220446049250313e-16,0.34
3379,random_iid,cosine,14491,2.220446049250313e-16,2.1
3421,random_iid,cosine,6297,2.220446049250313e-16,0.3
3425,random_iid,cosine,14133,2.220446049250313e-16,2.16
3429,random_iid,cosine,18221,1.1102230246251565e-16,1.7
3461,random_iid,cosine,7203,2.220446049250313e-16,2.12
3468,random_iid,cosine,15728,1.1102230246251565e-16,1.28
3472,random_iid,cosine,6087,0.08013378899220025,2.58
3477,random_iid,cosine,12527,2.220446049250313e-16,0.1
3485,random_iid,cosine,18534,2.220446049250313e-16,1.96
3486,random_iid,cosine,17453,2.220446049250313e-16,1.58
3526,random_iid,cosine,4343,0.08831538832289654,2.2
3528,random_iid,cosine,15422,2.220446049250313e-16,3.0
3532,random_iid,cosine,10282,2.220446049250313e-16,1.06
3545,random_iid,cosine,9051,0.08013378899220014,0.2
3547,random_iid,cosine,3726,0.08831538832289654,1.6
3562,random_iid,cosine,13931,2.220446049250313e-16,1.38
3570,random_iid,cosine,564,1.1102230246251565e-16,2.66
3572,random_iid,cosine,2303,0.08831538832289654,1.74
3585,random_iid,cosine,4504,1.1102230246251565e-16,2.34
3588,random_iid,cosine,8982,2.220446049250313e-16,2.94
3608,random_iid,cosine,14910,0.0,0.76
3616,random_iid,cosine,16778,2.220446049250313e-16,2.02
3617,random_iid,cosine,18063,1.1102230246251565e-16,2.34
3623,random_iid,cosine,16552,3.3306690738754696e-16,1.98
3635,random_iid,cosine,9375,1.1102230246251565e-16,0.64
3651,random_iid,cosine,5305,1.1102230246251565e-16,2.9
3656,random_iid,cosine,13790,0.08831538832289654,0.98
3684,random_iid,cosine,7209,1.1102230246251565e-16,0.36
3703,random_iid,cosine,16165,1.1102230246251565e-16,1.32
3704,random_iid,cosine,13053,2.220446049250313e-16,1.32
3707,random_iid,cosine,2650,2.220446049250313e-16,2.64
3721,random_iid,cosine,7873,0.08831538832289643,1.94
3725,random_iid,cosine,9778,0.08831538832289654,2.88
3733,random_iid,cosine,5300,1.1102230246251565e-16,1.3
3739,random_iid,cosine,625,2.220446049250313e-16,3.46
3746,random_iid,cosine,1378,0.15484574527148354,1.4
3753,random_iid,cosine,4029,0.08831538832289654,1.28
3755,random_iid,cosine,5718,2.220446049250313e-16,1.44
3776,random_iid,cosine,2755,2.220446049250313e-16,1.58
3781,random_iid,cosine,4059,2.220446049250313e-16,1.28
3788,random_iid,cosine,6557,0.08013378899220025,2.04
3798,random_iid,cosine,9683,2.220446049250313e-16,0.56
3821,random_iid,cosine,4080,0.15484574527148354,0.96
3844,random_iid,cosine,4326,0.0,2.94
3848,random_iid,cosine,9393,1.1102230246251565e-16,-0.08
3851,random_iid,cosine,2268,0.0,0.94
3857,random_iid,cosine,5882,2.220446049250313e-16,0.9
3860,random_iid,cosine,10680,1.1102230246251565e-16,1.36
3865,random_iid,cosine,5975,0.07549967295795157,1.94
3886,random_iid,cosine,9125,2.220446049250313e-16,0.7
3894,random_iid,cosine,6713,2.220446049250313e-16,0.4
3910,random_iid,cosine,165,1.1102230246251565e-16,0.86
3919,random_iid,cosine,5823,0.08831538832289643,0.08
3934,random_iid,cosine,15965,3.3306690738754696e-16,2.8
3938,random_iid,cosine,5240,0.08831538832289643,2.26
3948,random_iid,cosine,11448,0.07549967295795157,1.78
3974,random_iid,cosine,11317,2.220446049250313e-16,2.74
3975,random_iid,cosine,3749,0.15484574527148354,1.24
3984,random_iid,cosine,1230,0.15484574527148354,1.2
4010,random_iid,cosine,8401,0.08831538832289643,0.56
4032,random_iid,cosine,2944,0.08831538832289643,2.3
4046,random_iid,cosine,1740,2.220446049250313e-16,1.1
4049,random_iid,cosine,2659,1.1102230246251565e-16,2.26
4058,random_iid,cosine,2313,1.1102230246251565e-16,1.24
4061,random_iid,cosine,1471,2.220446049250313e-16,1.46
4069,random_iid,cosine,3098,3.3306690738754696e-16,1.68
4073,random_iid,cosine,158,0.08013378899220025,1.98
4093,random_iid,cosine,8584,2.220446049250313e-16,2.34
4097,random_iid,cosine,8690,1.1102230246251565e-16,1.48
4101,random_iid,cosine,14233,2.220446049250313e-16,1.32
4105,random_iid,cosine,9613,0.08013378899220025,3.9
4110,random_iid,cosine,2374,0.15484574527148354,1.88
4115,random_iid,cosine,11719,1.1102230246251565e-16,0.76
4126,random_iid,cosine,5541,0.0,2.48
4128,random_iid,cosine,9747,0.08831538832289643,1.46
4149,random_iid,cosine,5530,2.220446049250313e-16,1.82
4153,random_iid,cosine,14844,2.220446049250313e-16,1.12
4156,random_iid,cosine,18727,1.1102230246251565e-16,2.56
4166,random_iid,cosine,2367,2.220446049250313e-16,1.78
4178,random_iid,cosine,5684,1.1102230246251565e-16,1.86
4193,random_iid,cosine,5967,2.220446049250313e-16,0.44
4205,random_iid,cosine,10187,2.220446049250313e-16,1.5
4245,random_iid,cosine,12540,2.220446049250313e-16,2.14
4269,random_iid,cosine,1968,2.220446049250313e-16,1.58
4286,random_iid,cosine,5931,1.1102230246251565e-16,2.04
4291,random_iid,cosine,15883,0.08831538832289654,0.62
4304,random_iid,cosine,5323,0.08831538832289643,1.92
4318,random_iid,cosine,9040,1.1102230246251565e-16,1.92
4325,random_iid,cosine,16035,0.08831538832289654,1.62
4328,random_iid,cosine,3509,2.220446049250313e-16,2.08
4333,random_iid,cosine,15482,1.1102230246251565e-16,1.86
4338,random_iid,cosine,3239,2.220446049250313e-16,2.14
4339,random_iid,cosine,13273,1.1102230246251565e-16,1.68
4344,random_iid,cosine,789,2.220446049250313e-16,2.98
4351,random_iid,cosine,461,1.1102230246251565e-16,1.26
4375,random_iid,cosine,13172,1.1102230246251565e-16,1.22
4385,random_iid,cosine,6644,2.220446049250313e-16,1.14
4393,random_iid,cosine,13921,0.0,1.0
4400,random_iid,cosine,10226,2.220446049250313e-16,1.14
4401,random_iid,cosine,17584,2.220446049250313e-16,1.0
4407,random_iid,cosine,5111,0.08831538832289643,1.22
4411,random_iid,cosine,5297,1.1102230246251565e-16,0.88
4438,random_iid,cosine,5288,2.220446049250313e-16,3.22
4445,random_iid,cosine,10057,1.1102230246251565e-16,0.48
4462,random_iid,cosine,6175,0.08831538832289643,0.72
4475,random_iid,cosine,5795,1.1102230246251565e-16,2.42
4488,random_iid,cosine,15159,0.08013378899220025,2.5
4501,random_iid,cosine,7997,2.220446049250313e-16,0.78
4510,random_iid,cosine,1571,0.07549967295795157,0.96
4525,random_iid,cosine,2457,0.08831538832289643,1.74
4547,random_iid,cosine,15212,0.08831538832289654,0.44
4548,random_iid,cosine,18689,2.220446049250313e-16,1.92
4572,random_iid,cosine,4892,1.1102230246251565e-16,1.68
4574,random_iid,cosine,689,0.08013378899220025,0.38
4577,random_iid,cosine,1928,0.08831538832289643,1.9
4590,random_iid,cosine,11016,0.08831538832289643,1.16
4596,random_iid,cosine,15472,0.0,2.6
4600,random_iid,cosine,11494,0.08831538832289643,1.84
4602,random_iid,cosine,10529,1.1102230246251565e-16,2.42
4614,random_iid,cosine,13381,0.0,1.94
4618,random_iid,cosine,12125,2.220446049250313e-16,1.1
4629,random_iid,cosine,12400,0.08831538832289654,0.68
4634,random_iid,cosine,3800,0.08831538832289643,1.24
4638,random_iid,cosine,10997,1.1102230246251565e-16,0.8
4667,random_iid,cosine,15977,0.0,0.22
4693,random_iid,cosine,18241,2.220446049250313e-16,1.08
4706,random_iid,cosine,9709,2.220446049250313e-16,1.48
4720,random_iid,cosine,7608,0.08831538832289643,3.54
4730,random_iid,cosine,689,0.08013378899220025,1.54
4731,random_iid,cosine,9613,0.08013378899220025,2.42
4738,random_iid,cosine,13064,0.08831538832289643,2.06
4739,random_iid,cosine,9916,0.0,0.58
4743,random_iid,cosine,1089,0.08013378899220014,0.02
4762,random_iid,cosine,510,2.220446049250313e-16,1.34
4771,random_iid,cosine,12261,1.1102230246251565e-16,1.1
4788,random_iid,cosine,7317,2.220446049250313e-16,1.64
4822,random_iid,cosine,4952,2.220446049250313e-16,0.26
4824,random_iid,cosine,5796,2.220446049250313e-16,1.4
4828,random_iid,cosine,13783,1.1102230246251565e-16,1.78
4836,random_iid,cosine,3673,2.220446049250313e-16,2.4
4843,random_iid,cosine,11124,0.15484574527148354,1.54
4856,random_iid,cosine,7114,0.0,1.38
4860,random_iid,cosine,1195,2.220446049250313e-16,0.1
4881,random_iid,cosine,7653,1.1102230246251565e-16,0.44
4884,random_iid,cosine,7097,2.220446049250313e-16,0.42
4899,random_iid,cosine,16841,2.220446049250313e-16,1.08
4909,random_iid,cosine,11401,1.1102230246251565e-16,2.12
4918,random_iid,cosine,5679,1.1102230246251565e-16,3.64
4929,random_iid,cosine,4780,2.220446049250313e-16,0.96
4935,random_iid,cosine,2784,1.1102230246251565e-16,0.96
4936,random_iid,cosine,9972,0.08013378899220025,-0.42
4954,random_iid,cosine,2348,2.220446049250313e-16,0.96
4973,random_iid,cosine,15550,2.220446049250313e-16,0.84
4977,random_iid,cosine,18095,0.0,2.2
4981,random_iid,cosine,8382,1.1102230246251565e-16,1.6
4982,random_iid,cosine,136,2.220446049250313e-16,0.58
4983,random_iid,cosine,4376,1.1102230246251565e-16,2.7
4989,random_iid,cosine,10511,1.1102230246251565e-16,2.0
4999,random_iid,cosine,14123,3.3306690738754696e-16,0.98
5000,random_iid,cosine,13560,0.08831538832289654,1.22
5019,random_iid,cosine,427,0.07549967295795157,1.76
5020,random_iid,cosine,5340,0.15484574527148354,1.1
5022,random_iid,cosine,12590,2.220446049250313e-16,0.42
5026,random_iid,cosine,12912,3.3306690738754696e-16,1.26
5028,random_iid,cosine,15143,1.1102230246251565e-16,0.52
5035,random_iid,cosine,17508,1.1102230246251565e-16,1.18
5038,random_iid,cosine,491,0.08831538832289643,1.8
5069,random_iid,cosine,1621,0.08831538832289654,1.98
5094,random_iid,cosine,9212,0.08013378899220014,1.02
5106,random_iid,cosine,12082,2.220446049250313e-16,1.98
5107,random_iid,cosine,1625,0.08013378899220025,1.2
5112,random_iid,cosine,12446,1.1102230246251565e-16,1.8
5116,random_iid,cosine,945,2.220446049250313e-16,0.16
5118,random_iid,cosine,15719,3.3306690738754696e-16,0.8
5129,random_iid,cosine,17306,2.220446049250313e-16,0.62
