sample_id,split_strategy,test_element_set,nearest_train_element_set,max_jaccard_similarity,n_shared_elements,n_test_elements,n_train_elements_nearest,target
291,random_iid,F-O-Sr-Ta,F-O-Sr-Ta,1.0,4,4,4,2.66
313,random_iid,B-O-V,B-O-V,1.0,3,3,3,0.82
322,random_iid,N-Ni-O-Si,N-Ni-O-Si,1.0,4,4,4,1.62
323,random_iid,F-Ga-Mo-O,F-Ga-Mo-O,1.0,4,4,4,0.42
326,random_iid,In-Nb-O-S,In-Nb-O-S,1.0,4,4,4,0.32
327,random_iid,Ca-O-Te,Ca-O-Te,1.0,3,3,3,1.18
344,random_iid,Au-F-K-O,Au-F-K-N-O,0.8,4,4,5,1.46
351,random_iid,Be-O-Rh,Be-O-Rh,1.0,3,3,3,1.62
361,random_iid,Mg-O-Ta,Mg-O-Ta,1.0,3,3,3,0.8
379,random_iid,N-Ni-O-Y,N-Ni-O-Y,1.0,4,4,4,2.4
387,random_iid,Ba-Bi-N-O,Ba-Bi-N-O,1.0,4,4,4,2.02
401,random_iid,Hf-K-O-S,Hf-K-O-S,1.0,4,4,4,0.88
409,random_iid,Cs-F-Ir-N-O,Cs-F-Ir-O,0.8,4,5,4,1.42
410,random_iid,F-N-O-Rb-Sn,F-N-O-Rb-Sn,1.0,5,5,5,1.0
423,random_iid,Ir-O-S-Sc,Ir-O-S-Sc,1.0,4,4,4,0.98
424,random_iid,F-O-Ta-Te,F-O-Ta-Te,1.0,4,4,4,1.9
438,random_iid,N-O-Pt-Sb,N-O-Pt-Sb,1.0,4,4,4,1.3
450,random_iid,Cu-Hf-O,Cu-Hf-O,1.0,3,3,3,1.2
460,random_iid,As-O-Si,As-O-Si,1.0,3,3,3,1.0
467,random_iid,La-O-Sc,La-O-Sc,1.0,3,3,3,0.08
476,random_iid,Ni-O-V,Ni-O-V,1.0,3,3,3,0.72
485,random_iid,Hf-O-Ti,Hf-O-Ti,1.0,3,3,3,0.84
487,random_iid,F-O-Pb-W,F-O-Pb-W,1.0,4,4,4,0.6
542,random_iid,Au-N-O-Sr,Au-N-O-Sr,1.0,4,4,4,2.46
549,random_iid,In-O,Ag-In-O,0.6666666666666666,2,2,3,0.88
553,random_iid,N-O-Pt-Tl,N-O-Pt-Tl,1.0,4,4,4,2.56
558,random_iid,F-Ir-Mn-O,F-Ir-Mn-O,1.0,4,4,4,1.26
563,random_iid,N-O-Rh-Tl,N-O-Rh-Tl,1.0,4,4,4,1.62
576,random_iid,B-N-O-Ti,B-N-O-Ti,1.0,4,4,4,2.2
608,random_iid,N-Na-O-Pt,N-Na-O-Pt,1.0,4,4,4,1.4
621,random_iid,Al-Co-F-O,Al-Co-F-O,1.0,4,4,4,1.5
635,random_iid,B-O-Sr,B-O-Sr,1.0,3,3,3,0.96
651,random_iid,Au-Ir-O,Au-Ir-O,1.0,3,3,3,2.28
657,random_iid,In-N-O,In-N-O,1.0,3,3,3,1.26
705,random_iid,Ca-O-Pd,Ca-O-Pd,1.0,3,3,3,1.0
707,random_iid,La-O-Ru,La-O-Ru,1.0,3,3,3,0.64
708,random_iid,Cr-Mn-N-O,Cr-Mn-N-O,1.0,4,4,4,0.88
715,random_iid,Be-O-Sc,Be-O-Sc,1.0,3,3,3,1.98
729,random_iid,N-Nb-O-Sc,N-Nb-O-Sc,1.0,4,4,4,0.5
733,random_iid,N-Pb-Pt,N-Pb-Pt,1.0,3,3,3,2.86
736,random_iid,Hg-N-Sb,Hg-N-Sb,1.0,3,3,3,1.8
744,random_iid,Ga-O-Tl,Ga-O-Tl,1.0,3,3,3,1.28
751,random_iid,F-N-Na-O-Y,F-N-Na-O-Y,1.0,5,5,5,1.38
795,random_iid,N-Ni-O-Ta,N-Ni-O-Ta,1.0,4,4,4,0.56
817,random_iid,N-O-Rh-Ta,N-O-Rh-Ta,1.0,4,4,4,0.56
820,random_iid,N-O-Pd-Zn,N-O-Pd-Zn,1.0,4,4,4,1.5
828,random_iid,Bi-N-Te,Bi-N-Te,1.0,3,3,3,2.26
852,random_iid,N-O-Ru-Tl,N-O-Ru-Tl,1.0,4,4,4,2.46
856,random_iid,F-N-O-Rh-Y,F-N-O-Rh-Y,1.0,5,5,5,1.4
878,random_iid,Li-N-O-Tl,Li-N-O-Tl,1.0,4,4,4,2.66
927,random_iid,Cu-F-N-O-Ta,Cu-F-N-O,0.8,4,5,4,0.32
928,random_iid,Cd-N-O-Ta,Cd-N-O-Ta,1.0,4,4,4,0.66
936,random_iid,N-O-Ti-W,N-O-Ti-W,1.0,4,4,4,0.84
960,random_iid,O-Rb-S-Sn,O-Rb-S-Sn,1.0,4,4,4,1.12
963,random_iid,F-In-N-O-Ti,F-In-N-O-Ti,1.0,5,5,5,1.62
967,random_iid,Mn-N-O-Pb,Mn-N-O-Pb,1.0,4,4,4,1.58
970,random_iid,Cd-Cu-F-N-O,Cd-Cu-F-N-O,1.0,5,5,5,1.28
971,random_iid,Cu-N-O,Cu-N-O,1.0,3,3,3,2.2
977,random_iid,Ga-O-Pt-S,Ga-O-Pt-S,1.0,4,4,4,1.24
980,random_iid,O-Pt-Sn,O-Pt-Sn,1.0,3,3,3,1.42
1020,random_iid,Hf-N-O-Si,Hf-N-O-Si,1.0,4,4,4,0.72
1023,random_iid,In-N-O-Pb,In-N-O-Pb,1.0,4,4,4,1.46
1026,random_iid,Hg-N-Ni-O,Hg-N-Ni-O,1.0,4,4,4,2.56
1027,random_iid,F-O-Os-Sb,F-O-Os-Sb,1.0,4,4,4,1.38
1034,random_iid,Ag-Hf-O,Ag-Hf-O,1.0,3,3,3,0.72
1035,random_iid,F-O-Sb-Ti,F-N-O-Sb-Ti,0.8,4,4,5,1.28
1066,random_iid,Cu-N-O-Sn,Cu-N-O-Sn,1.0,4,4,4,1.24
1071,random_iid,Be-O-Pt-S,Be-O-Pt-S,1.0,4,4,4,1.6
1084,random_iid,Cd-N-Na,Cd-N-Na,1.0,3,3,3,2.42
1086,random_iid,O-Pb-Sc,O-Pb-Sc,1.0,3,3,3,0.6
1087,random_iid,Li-N-O-Zr,Li-N-O-Zr,1.0,4,4,4,0.9
1092,random_iid,Fe-Mo-O-S,Fe-Mo-O-S,1.0,4,4,4,0.9
1114,random_iid,Co-Mg-N-O,Co-Mg-N-O,1.0,4,4,4,1.02
1144,random_iid,N-O-Tl-Zn,N-O-Tl-Zn,1.0,4,4,4,2.02
1147,random_iid,La-N-Ni,La-N-Ni-O,0.75,3,3,4,2.66
1157,random_iid,Cs-F-Ir-N-O,Cs-F-Ir-O,0.8,4,5,4,3.72
1158,random_iid,Cd-Hf-N-O,Cd-Hf-N-O,1.0,4,4,4,2.24
1162,random_iid,F-N-Na-O-Si,F-N-Na-O-Si,1.0,5,5,5,0.98
1163,random_iid,Ge-N-O-Sr,Ge-N-O-Sr,1.0,4,4,4,2.88
1182,random_iid,Cd-O-Si,Cd-O-Si,1.0,3,3,3,0.46
1199,random_iid,K-N-O-Rb,K-N-O-Rb,1.0,4,4,4,2.24
1213,random_iid,N-O-Si-Sn,N-O-Si-Sn,1.0,4,4,4,1.48
1261,random_iid,F-N-Ni-O-Rb,F-N-Ni-O-Rb,1.0,5,5,5,1.4
1272,random_iid,Al-N-O-Te,Al-N-O-Te,1.0,4,4,4,1.16
1290,random_iid,Hf-La-N-O,Hf-La-N-O,1.0,4,4,4,1.46
1297,random_iid,La-O-S-Si,La-O-S-Si,1.0,4,4,4,1.48
1303,random_iid,Au-N-O-Tl,Au-N-O-Tl,1.0,4,4,4,2.28
1321,random_iid,Ge-N-O-Te,Ge-N-O-Te,1.0,4,4,4,1.18
1323,random_iid,Be-Li-O,Be-F-Li-O,0.75,3,3,4,2.54
1328,random_iid,O-Sn-V,O-Sn-V,1.0,3,3,3,0.12
1346,random_iid,Cs-La-O-S,Cs-La-O-S,1.0,4,4,4,2.52
1347,random_iid,Ir-Mn-N,Ir-Mn-N,1.0,3,3,3,1.38
1350,random_iid,In-O-Tl,In-O-Tl,1.0,3,3,3,1.38
1383,random_iid,F-O-Sb-Zr,F-N-O-Sb-Zr,0.8,4,4,5,0.66
1396,random_iid,Au-O-Y,Au-O-Y,1.0,3,3,3,1.56
1397,random_iid,Ag-F-In-N-O,Ag-F-In-N-O,1.0,5,5,5,1.18
1419,random_iid,Ge-N-Ni,Ge-N-Ni,1.0,3,3,3,1.4
1427,random_iid,B-Mg-N,B-Mg-N,1.0,3,3,3,3.78
1429,random_iid,F-O-Ru-Si,F-N-O-Ru-Si,0.8,4,4,5,1.94
1430,random_iid,Cd-Fe-O,Cd-Fe-O,1.0,3,3,3,0.62
1444,random_iid,N-O-Pd-Re,N-O-Pd-Re,1.0,4,4,4,2.44
1450,random_iid,Li-N-O-Os,Li-N-O-Os,1.0,4,4,4,0.86
1453,random_iid,Hf-N-W,Hf-N-W,1.0,3,3,3,0.78
1456,random_iid,F-O-Pd-Sc,F-N-O-Pd-Sc,0.8,4,4,5,1.64
1493,random_iid,N-O-Sb-Zn,N-O-Sb-Zn,1.0,4,4,4,1.04
1510,random_iid,Cr-N-O-Tl,Cr-N-O-Tl,1.0,4,4,4,1.84
1512,random_iid,As-O-S-Zn,As-O-S,0.75,3,4,3,0.94
1527,random_iid,Fe-K-N-O,Fe-K-N-O,1.0,4,4,4,0.82
1554,random_iid,F-Ge-Mg-N-O,F-Ge-Mg-N-O,1.0,5,5,5,1.0
1557,random_iid,Hf-Ir-O-S,Hf-Ir-O-S,1.0,4,4,4,1.0
1580,random_iid,Ag-N-Sn,Ag-N-O-Sn,0.75,3,3,4,1.88
1599,random_iid,Fe-N-Ta,Fe-N-O-Ta,0.75,3,3,4,1.02
1611,random_iid,F-O-Sr-Tl,F-N-O-Sr-Tl,0.8,4,4,5,1.16
1624,random_iid,Bi-F-O-Zn,Bi-F-O-Zn,1.0,4,4,4,0.94
1632,random_iid,F-N-Ni-O-V,F-N-Ni-O,0.8,4,5,4,1.02
1640,random_iid,F-N-O-Pd-Re,F-N-O-Pd-Re,1.0,5,5,5,0.82
1697,random_iid,N-O-Pd-Ta,N-O-Pd-Ta,1.0,4,4,4,0.62
1704,random_iid,Bi-Cs-N,Bi-Cs-N,1.0,3,3,3,2.56
1705,random_iid,Au-La-O-S,Au-La-O-S,1.0,4,4,4,0.94
1710,random_iid,N-Na-O-Sr,N-Na-O-Sr,1.0,4,4,4,1.74
1712,random_iid,Cs-K-O-S,Cs-K-O-S,1.0,4,4,4,2.62
1722,random_iid,F-Mo-N-O-Os,F-Mo-O-Os,0.8,4,5,4,1.42
1729,random_iid,Fe-O-S-Te,Fe-O-S-Te,1.0,4,4,4,1.04
1730,random_iid,Ca-N-O-Tl,Ca-N-O-Tl,1.0,4,4,4,1.52
1747,random_iid,Cs-F-O-Sb,Cs-F-N-O-Sb,0.8,4,4,5,0.54
1768,random_iid,La-N-O-Ta,La-N-O-Ta,1.0,4,4,4,1.36
1804,random_iid,In-N-O-Ta,In-N-O-Ta,1.0,4,4,4,0.52
1807,random_iid,N-Sb-Si,N-O-Sb-Si,0.75,3,3,4,2.22
1838,random_iid,As-O-S-Zn,As-O-S,0.75,3,4,3,1.28
1862,random_iid,Al-Hf-O,Al-F-Hf-O,0.75,3,3,4,0.68
1869,random_iid,O-Pb-S,Ag-O-Pb-S,0.75,3,3,4,0.9
1901,random_iid,N-O-Sc-Sr,N-O-Sc-Sr,1.0,4,4,4,0.7
1905,random_iid,N-O-Os-Sc,N-O-Os-Sc,1.0,4,4,4,1.34
1944,random_iid,O-S-Y-Zr,O-S-Y-Zr,1.0,4,4,4,0.62
1952,random_iid,Cu-O-Ta,Cu-O-Ta,1.0,3,3,3,0.22
1957,random_iid,Ir-N-O-Re,Ir-N-O-Re,1.0,4,4,4,2.22
1981,random_iid,Be-F-La-O,Be-F-La-N-O,0.8,4,4,5,1.96
1983,random_iid,Ag-Mg-O-S,Ag-Mg-O,0.75,3,4,3,1.16
2008,random_iid,O-Re-W,O-Re-W,1.0,3,3,3,1.62
2020,random_iid,F-O-Pt-Ta,F-O-Pt-Ta,1.0,4,4,4,2.04
2026,random_iid,O-S-Te-Tl,O-S-Tl,0.75,3,4,3,0.82
2043,random_iid,F-Nb-Ni-O,F-Nb-Ni-O,1.0,4,4,4,0.66
2066,random_iid,F-Nb-O-Rh,F-Nb-O-Rh,1.0,4,4,4,0.72
2078,random_iid,O-S-Sc-Zr,O-S-Sc-Zr,1.0,4,4,4,1.12
2111,random_iid,Al-F-N-O-Sc,Al-F-N-O,0.8,4,5,4,1.56
2112,random_iid,As-B-F-N-O,As-B-F-N-O,1.0,5,5,5,2.36
2117,random_iid,Bi-Cu-N-O,Bi-Cu-N-O,1.0,4,4,4,1.6
2119,random_iid,Cr-O-Rh-S,Cr-O-Rh-S,1.0,4,4,4,1.0
2127,random_iid,Bi-F-O-W,Bi-F-O-W,1.0,4,4,4,1.84
2129,random_iid,O-S-Te-Zn,O-S-Te-Zn,1.0,4,4,4,1.24
2136,random_iid,Mg-O-Zn,Mg-O-Zn,1.0,3,3,3,1.32
2145,random_iid,Al-Au-N-O,Al-Au-N-O,1.0,4,4,4,1.6
2152,random_iid,In-Nb-O,In-Nb-O,1.0,3,3,3,0.82
2167,random_iid,F-Fe-N-O-Sr,F-Fe-N-O-Sr,1.0,5,5,5,2.98
2174,random_iid,N-O-Re-Sc,N-O-Re-Sc,1.0,4,4,4,2.36
2177,random_iid,N-Ni-O-Sb,N-Ni-O-Sb,1.0,4,4,4,1.36
2189,random_iid,Ag-O-Pb-S,Ag-O-Pb-S,1.0,4,4,4,1.44
2214,random_iid,Ag-O-Rb-S,Ag-O-Rb-S,1.0,4,4,4,2.9
2221,random_iid,Ba-O-Te,Ba-O-Te,1.0,3,3,3,0.22
2232,random_iid,N-Na-O-Y,N-Na-O-Y,1.0,4,4,4,2.0
2238,random_iid,N-O-Os-Ta,N-O-Os-Ta,1.0,4,4,4,0.84
2247,random_iid,O-Y,Ag-O-Y,0.6666666666666666,2,2,3,0.56
2250,random_iid,Co-F-O-Pb,Co-F-N-O-Pb,0.8,4,4,5,1.46
2255,random_iid,O-S-Sb-Zr,O-S-Sb-Zr,1.0,4,4,4,0.7
2266,random_iid,Li-O-Zn,Li-O-Zn,1.0,3,3,3,1.88
2267,random_iid,N-Os-Sr,N-Os-Sr,1.0,3,3,3,1.16
2270,random_iid,F-O-Ru-Si,F-N-O-Ru-Si,0.8,4,4,5,1.46
2271,random_iid,F-Mo-O-Ta,F-Mo-O-Ta,1.0,4,4,4,1.46
2279,random_iid,Hf-Mg-O-S,Hf-Mg-O,0.75,3,4,3,1.26
2281,random_iid,Ca-Mg-N-O,Ca-Mg-N-O,1.0,4,4,4,1.98
2298,random_iid,F-K-La-O,F-K-La-O,1.0,4,4,4,1.52
2300,random_iid,F-Fe-N-Nb-O,F-Fe-Nb-O,0.8,4,5,4,1.16
2301,random_iid,Cs-N,Al-Cs-N,0.6666666666666666,2,2,3,4.0
2308,random_iid,N-O-Rb-W,N-O-Rb-W,1.0,4,4,4,1.82
2312,random_iid,As-O-S-W,As-O-S-W,1.0,4,4,4,1.74
2315,random_iid,Cr-N-O-W,Cr-N-O-W,1.0,4,4,4,0.82
2319,random_iid,Bi-N-O-Sn,Bi-N-O-Sn,1.0,4,4,4,0.98
2325,random_iid,Cr-N-Sb,Cr-N-Sb,1.0,3,3,3,1.7
2334,random_iid,Ca-F-O-Y,Ca-F-O-Y,1.0,4,4,4,0.38
2360,random_iid,Hf-N-O-Rh,Hf-N-O-Rh,1.0,4,4,4,1.82
2388,random_iid,Hg-N-O-Re,Hg-N-O-Re,1.0,4,4,4,2.92
2392,random_iid,Ba-N-O-Zr,Ba-N-O-Zr,1.0,4,4,4,0.74
2403,random_iid,Au-Mg-O,Au-Mg-O,1.0,3,3,3,1.64
2405,random_iid,As-B-N,As-B-N,1.0,3,3,3,2.14
2408,random_iid,Ca-N-O-Te,Ca-N-O-Te,1.0,4,4,4,1.26
2414,random_iid,Mn-N-O-Re,Mn-N-O-Re,1.0,4,4,4,0.76
2439,random_iid,F-Nb-O,Ag-F-Nb-O,0.75,3,3,4,0.84
2445,random_iid,F-Fe-Hg-N-O,F-Fe-Hg-N-O,1.0,5,5,5,1.0
2448,random_iid,F-Mn-N-O-Ta,F-Mn-N-O-Ta,1.0,5,5,5,0.78
2458,random_iid,N-O-Ta-Zn,N-O-Ta-Zn,1.0,4,4,4,0.26
2480,random_iid,Cr-N-O-Sr,Cr-N-O-Sr,1.0,4,4,4,2.36
2483,random_iid,N-O-Sn-V,N-O-Sn-V,1.0,4,4,4,0.58
2485,random_iid,F-Ga-K-N-O,F-Ga-K-N-O,1.0,5,5,5,2.82
2495,random_iid,Hf-N-O-Pd,Hf-N-O-Pd,1.0,4,4,4,1.34
2498,random_iid,As-La-N-O,As-La-N-O,1.0,4,4,4,0.6
2501,random_iid,La-O-Rb-S,La-O-Rb-S,1.0,4,4,4,2.4
2503,random_iid,F-In-N-O-Zr,F-In-N-O-Zr,1.0,5,5,5,1.2
2516,random_iid,Fe-N-Ni,Fe-N-Ni,1.0,3,3,3,1.24
2519,random_iid,Mo-N-Pt,Mo-N-Pt,1.0,3,3,3,1.62
2534,random_iid,Bi-F-O-Sb,Bi-F-O-Sb,1.0,4,4,4,0.82
2540,random_iid,Bi-O-Si,Bi-O-Si,1.0,3,3,3,0.86
2554,random_iid,F-K-N-Nb-O,F-K-N-Nb-O,1.0,5,5,5,3.26
2583,random_iid,F-O-Sb-Zr,F-N-O-Sb-Zr,0.8,4,4,5,1.34
2585,random_iid,Au-In-N-O,Au-In-N-O,1.0,4,4,4,1.52
2589,random_iid,Cr-N-O-Pd,Cr-N-O-Pd,1.0,4,4,4,0.96
2602,random_iid,Cu-Hg-O-S,Cu-Hg-O-S,1.0,4,4,4,1.3
2605,random_iid,Ca-N-Na-O,Ca-N-Na-O,1.0,4,4,4,1.88
2609,random_iid,N-Ni-Si,N-Ni-Si,1.0,3,3,3,1.22
2614,random_iid,F-La-N-O-Sb,F-La-N-O-Sb,1.0,5,5,5,1.42
2616,random_iid,N-Na-O-Si,N-Na-O-Si,1.0,4,4,4,2.0
2626,random_iid,Na-O-S-Zn,Na-O-S,0.75,3,4,3,1.46
2635,random_iid,Ag-B-O-S,Ag-B-O,0.75,3,4,3,2.18
2647,random_iid,F-Na-O-Os,F-Na-O-Os,1.0,4,4,4,1.0
2662,random_iid,Fe-O-Zn,F-Fe-O-Zn,0.75,3,3,4,1.46
2676,random_iid,Ag-F-O-Sc,Ag-F-O-Sc,1.0,4,4,4,0.76
2677,random_iid,Bi-Co-F-O,Bi-Co-F-O,1.0,4,4,4,1.28
2678,random_iid,F-Ir-N-O-Pd,F-Ir-N-O-Pd,1.0,5,5,5,2.12
2680,random_iid,Au-N-Na-O,Au-N-Na-O,1.0,4,4,4,2.66
2684,random_iid,Ba-F-O-Pd,Ba-F-O-Pd,1.0,4,4,4,1.9
2697,random_iid,N-Sc-V,N-Sc-V,1.0,3,3,3,2.0
2698,random_iid,As-K-N-O,As-K-N-O,1.0,4,4,4,0.92
2704,random_iid,Co-Ni-O,Co-Ni-O,1.0,3,3,3,1.24
2712,random_iid,N-Sc-W,N-O-Sc-W,0.75,3,3,4,1.3
2730,random_iid,Ca-O-Re-S,Ca-O-Re-S,1.0,4,4,4,1.46
2740,random_iid,As-N-Zr,As-N-O-Zr,0.75,3,3,4,1.16
2771,random_iid,O-S-Si-Zr,O-S-Si,0.75,3,4,3,0.94
2796,random_iid,Be-N-O-Y,Be-N-O-Y,1.0,4,4,4,2.76
2797,random_iid,B-In-O-S,B-In-O-S,1.0,4,4,4,1.14
2805,random_iid,O-Si-Y,O-Si-Y,1.0,3,3,3,1.4
2826,random_iid,B-F-Ni-O,B-F-Ni-O,1.0,4,4,4,1.3
2848,random_iid,Ba-In-O-S,Ba-In-O-S,1.0,4,4,4,1.8
2856,random_iid,F-Li-N-Ni-O,F-Li-Ni-O,0.8,4,5,4,1.4
2862,random_iid,Cs-F-N-O-Ta,Cs-F-N-O-Ta,1.0,5,5,5,0.56
2878,random_iid,Fe-La-N-O,Fe-La-N-O,1.0,4,4,4,2.96
2879,random_iid,Cd-N-O-Pd,Cd-N-O-Pd,1.0,4,4,4,1.78
2929,random_iid,Ge-N-Ta,Ge-N-Ta,1.0,3,3,3,1.08
2937,random_iid,B-O-Pb-S,B-O-Pb-S,1.0,4,4,4,2.2
2948,random_iid,Ge-Ir-N-O,Ge-Ir-N-O,1.0,4,4,4,1.24
2954,random_iid,Hf-Ni-O-S,Hf-Ni-O-S,1.0,4,4,4,1.48
2958,random_iid,B-Mo-N-O,B-Mo-N-O,1.0,4,4,4,1.26
2959,random_iid,Cu-O-Pd,Cu-F-O-Pd,0.75,3,3,4,1.54
2968,random_iid,Mg-N-Tl,Mg-N-O-Tl,0.75,3,3,4,2.42
2974,random_iid,O-Te-Zr,O-Te-Zr,1.0,3,3,3,0.72
2981,random_iid,Fe-O-S-Y,Fe-O-S-Y,1.0,4,4,4,0.84
2998,random_iid,Ca-F-O-Re,Ca-F-O-Re,1.0,4,4,4,2.14
3011,random_iid,O-Pb-Re,O-Pb-Re,1.0,3,3,3,1.64
3015,random_iid,F-Ir-N-O-Y,F-Ir-N-O-Y,1.0,5,5,5,2.24
3023,random_iid,Ag-O-Si,Ag-O-Si,1.0,3,3,3,0.98
3043,random_iid,Bi-Nb-O-S,Bi-Nb-O,0.75,3,4,3,1.22
3048,random_iid,Mn-O-S-Ta,Mn-O-S-Ta,1.0,4,4,4,0.48
3059,random_iid,Ba-Mo-N,Ba-Mo-N,1.0,3,3,3,3.44
3073,random_iid,N-O-Y-Zn,N-O-Y-Zn,1.0,4,4,4,2.14
3077,random_iid,F-N-Nb-O-Os,F-N-Nb-O-Os,1.0,5,5,5,1.56
3105,random_iid,Al-F-In-N-O,Al-F-In-N-O,1.0,5,5,5,1.84
3106,random_iid,Ca-Mn-N-O,Ca-Mn-N-O,1.0,4,4,4,0.42
3128,random_iid,As-Co-F-N-O,As-Co-F-N-O,1.0,5,5,5,1.34
3165,random_iid,N-Pt-Zr,N-Pt-Zr,1.0,3,3,3,1.34
3169,random_iid,N-Rb-Si,N-Rb-Si,1.0,3,3,3,4.58
3194,random_iid,Ba-N-O-Ti,Ba-N-O-Ti,1.0,4,4,4,2.82
3200,random_iid,Co-F-N-O-Sc,Co-F-N-O-Sc,1.0,5,5,5,1.22
3207,random_iid,Co-N-O-Sr,Co-N-O-Sr,1.0,4,4,4,1.38
3230,random_iid,F-Li-O-Pt,F-Li-O-Pt,1.0,4,4,4,2.12
3233,random_iid,Ag-B-F-N-O,Ag-B-F-N-O,1.0,5,5,5,3.1
3234,random_iid,F-Mg-Nb-O,F-Mg-Nb-O,1.0,4,4,4,0.78
3245,random_iid,Ir-N-O-W,Ir-N-O-W,1.0,4,4,4,1.46
3248,random_iid,Ag-Fe-O,Ag-Fe-O,1.0,3,3,3,1.06
3263,random_iid,Co-Nb-O-S,Co-Nb-O,0.75,3,4,3,0.48
3268,random_iid,Ir-O-Pd-S,Ir-O-Pd-S,1.0,4,4,4,1.34
3274,random_iid,O-Sc-Zr,O-Sc-Zr,1.0,3,3,3,0.34
3282,random_iid,O-Sb-Zr,O-Sb-Zr,1.0,3,3,3,0.46
3287,random_iid,F-Hf-Ni-O,F-Hf-Ni-O,1.0,4,4,4,1.58
3295,random_iid,Au-O-S-Sc,Au-O-S-Sc,1.0,4,4,4,1.78
3298,random_iid,F-In-O-W,F-In-O-W,1.0,4,4,4,0.42
3310,random_iid,B-F-Mg-O,B-F-Mg-N-O,0.8,4,4,5,0.94
3323,random_iid,B-N-O-Zr,B-N-O-Zr,1.0,4,4,4,1.14
3341,random_iid,Li-O-W,Li-O-W,1.0,3,3,3,0.0
3350,random_iid,Cu-N-Ti,Cu-N-Ti,1.0,3,3,3,1.6
3352,random_iid,F-Hf-O-Te,F-Hf-O-Te,1.0,4,4,4,1.54
3353,random_iid,F-Nb-O-Pb,F-Nb-O-Pb,1.0,4,4,4,0.34
3379,random_iid,Hg-N-Ni-O,Hg-N-Ni-O,1.0,4,4,4,2.1
3421,random_iid,F-Nb-O-Sr,F-Nb-O-Sr,1.0,4,4,4,0.3
3425,random_iid,Al-Ba-N-O,Al-Ba-N-O,1.0,4,4,4,2.16
3429,random_iid,N-Ni-Zn,N-Ni-Zn,1.0,3,3,3,1.7
3461,random_iid,Cs-N-Ni-O,Cs-N-Ni-O,1.0,4,4,4,2.12
3468,random_iid,As-F-N-Nb-O,As-F-N-Nb-O,1.0,5,5,5,1.28
3472,random_iid,Co-In-N,Co-In-N-O,0.75,3,3,4,2.58
3477,random_iid,K-N-Nb-O,K-N-Nb-O,1.0,4,4,4,0.1
3485,random_iid,Cs-F-O-Sn,Cs-F-O-Sn,1.0,4,4,4,1.96
3486,random_iid,Ge-O-S-W,Ge-O-S-W,1.0,4,4,4,1.58
3526,random_iid,F-Hf-O-Sr,F-Hf-N-O-Sr,0.8,4,4,5,2.2
3528,random_iid,Cs-Mn-O-S,Cs-Mn-O-S,1.0,4,4,4,3.0
3532,random_iid,La-O-S-Y,La-O-S-Y,1.0,4,4,4,1.06
3545,random_iid,Ge-O-Ti,F-Ge-O-Ti,0.75,3,3,4,0.2
3547,random_iid,As-N-O-Te,As-N-O-Te,1.0,4,4,4,1.6
3562,random_iid,Ga-N-O-Ru,Ga-N-O-Ru,1.0,4,4,4,1.38
3570,random_iid,B-F-N-O-Pb,B-F-N-O-Pb,1.0,5,5,5,2.66
