sample_id,target,target_bin_10,target_bin_5
65,1.54,middle_80,middle_90
66,0.86,middle_80,middle_90
67,1.48,middle_80,middle_90
68,1.1,middle_80,middle_90
69,3.34,high_10,high_5
70,1.08,middle_80,middle_90
71,3.74,high_10,high_5
72,0.82,middle_80,middle_90
73,2.3,middle_80,middle_90
74,3.2,high_10,high_5
75,1.9,middle_80,middle_90
76,2.98,high_10,high_5
77,1.38,middle_80,middle_90
78,0.42,low_10,low_5
79,1.0,middle_80,middle_90
80,1.06,middle_80,middle_90
81,1.6,middle_80,middle_90
82,2.04,middle_80,middle_90
83,0.96,middle_80,middle_90
84,2.22,middle_80,middle_90
85,1.9,middle_80,middle_90
86,1.12,middle_80,middle_90
87,2.8,high_10,middle_90
88,0.62,low_10,middle_90
89,1.86,middle_80,middle_90
90,1.72,middle_80,middle_90
91,1.32,middle_80,middle_90
92,0.76,middle_80,middle_90
93,1.44,middle_80,middle_90
94,2.32,middle_80,middle_90
95,1.16,middle_80,middle_90
96,3.6,high_10,high_5
97,1.44,middle_80,middle_90
98,0.56,low_10,middle_90
99,2.38,middle_80,middle_90
100,1.08,middle_80,middle_90
101,1.48,middle_80,middle_90
102,1.02,middle_80,middle_90
103,0.42,low_10,low_5
104,1.64,middle_80,middle_90
105,2.58,high_10,middle_90
106,0.62,low_10,middle_90
107,1.7,middle_80,middle_90
108,2.8,high_10,middle_90
109,1.54,middle_80,middle_90
110,1.62,middle_80,middle_90
111,1.0,middle_80,middle_90
112,1.98,middle_80,middle_90
113,1.96,middle_80,middle_90
114,1.3,middle_80,middle_90
115,1.04,middle_80,middle_90
116,1.3,middle_80,middle_90
117,2.18,middle_80,middle_90
118,1.06,middle_80,middle_90
119,1.7,middle_80,middle_90
120,0.7,middle_80,middle_90
121,2.18,middle_80,middle_90
122,0.94,middle_80,middle_90
123,1.0,middle_80,middle_90
124,1.1,middle_80,middle_90
125,0.54,low_10,middle_90
126,1.38,middle_80,middle_90
127,0.48,low_10,middle_90
128,1.9,middle_80,middle_90
129,1.78,middle_80,middle_90
130,1.02,middle_80,middle_90
131,1.92,middle_80,middle_90
132,1.02,middle_80,middle_90
133,1.14,middle_80,middle_90
134,0.56,low_10,middle_90
135,1.5,middle_80,middle_90
136,1.5,middle_80,middle_90
137,1.6,middle_80,middle_90
138,0.44,low_10,low_5
139,3.26,high_10,high_5
140,0.88,middle_80,middle_90
141,1.42,middle_80,middle_90
142,2.02,middle_80,middle_90
143,3.14,high_10,high_5
144,2.52,high_10,middle_90
145,1.1,middle_80,middle_90
146,2.4,middle_80,middle_90
147,1.36,middle_80,middle_90
148,2.24,middle_80,middle_90
149,2.22,middle_80,middle_90
150,1.26,middle_80,middle_90
151,0.66,middle_80,middle_90
152,1.0,middle_80,middle_90
153,1.44,middle_80,middle_90
154,1.64,middle_80,middle_90
155,1.28,middle_80,middle_90
156,1.46,middle_80,middle_90
157,1.78,middle_80,middle_90
158,2.48,high_10,middle_90
159,2.16,middle_80,middle_90
160,1.78,middle_80,middle_90
161,3.9,high_10,high_5
162,0.64,low_10,middle_90
163,1.1,middle_80,middle_90
164,1.86,middle_80,middle_90
165,1.4,middle_80,middle_90
166,1.44,middle_80,middle_90
167,2.62,high_10,middle_90
168,1.14,middle_80,middle_90
169,-0.04,low_10,low_5
170,1.92,middle_80,middle_90
171,0.72,middle_80,middle_90
172,0.9,middle_80,middle_90
173,0.44,low_10,low_5
174,1.52,middle_80,middle_90
175,2.02,middle_80,middle_90
176,1.12,middle_80,middle_90
177,0.88,middle_80,middle_90
178,1.2,middle_80,middle_90
179,3.44,high_10,high_5
180,1.36,middle_80,middle_90
181,0.66,middle_80,middle_90
182,1.7,middle_80,middle_90
183,2.02,middle_80,middle_90
184,1.06,middle_80,middle_90
185,1.24,middle_80,middle_90
186,2.46,high_10,middle_90
187,2.52,high_10,middle_90
188,2.54,high_10,middle_90
189,3.08,high_10,high_5
190,1.84,middle_80,middle_90
191,1.26,middle_80,middle_90
192,0.9,middle_80,middle_90
193,1.52,middle_80,middle_90
194,2.32,middle_80,middle_90
195,1.18,middle_80,middle_90
196,1.26,middle_80,middle_90
197,1.24,middle_80,middle_90
198,1.46,middle_80,middle_90
199,1.48,middle_80,middle_90
200,2.18,middle_80,middle_90
201,1.26,middle_80,middle_90
202,1.88,middle_80,middle_90
203,0.7,middle_80,middle_90
204,4.18,high_10,high_5
205,1.18,middle_80,middle_90
206,1.1,middle_80,middle_90
207,1.64,middle_80,middle_90
208,1.02,middle_80,middle_90
209,0.68,middle_80,middle_90
210,1.18,middle_80,middle_90
211,2.1,middle_80,middle_90
212,1.46,middle_80,middle_90
213,3.54,high_10,high_5
214,1.92,middle_80,middle_90
215,0.68,middle_80,middle_90
216,0.88,middle_80,middle_90
217,1.42,middle_80,middle_90
218,0.54,low_10,middle_90
219,0.56,low_10,middle_90
220,0.92,middle_80,middle_90
221,0.58,low_10,middle_90
222,1.16,middle_80,middle_90
223,0.8,middle_80,middle_90
224,0.64,low_10,middle_90
225,1.22,middle_80,middle_90
226,1.4,middle_80,middle_90
227,0.26,low_10,low_5
228,0.82,middle_80,middle_90
229,1.52,middle_80,middle_90
230,1.54,middle_80,middle_90
231,-0.06,low_10,low_5
232,1.36,middle_80,middle_90
233,0.98,middle_80,middle_90
234,2.04,middle_80,middle_90
235,1.36,middle_80,middle_90
236,3.96,high_10,high_5
237,0.8,middle_80,middle_90
238,1.4,middle_80,middle_90
239,1.62,middle_80,middle_90
240,1.82,middle_80,middle_90
241,0.8,middle_80,middle_90
242,1.98,middle_80,middle_90
243,0.78,middle_80,middle_90
244,1.32,middle_80,middle_90
245,2.8,high_10,middle_90
246,1.5,middle_80,middle_90
247,0.84,middle_80,middle_90
248,1.08,middle_80,middle_90
249,1.74,middle_80,middle_90
250,0.54,low_10,middle_90
251,0.14,low_10,low_5
252,1.16,middle_80,middle_90
253,-0.26,low_10,low_5
254,2.26,middle_80,middle_90
255,2.14,middle_80,middle_90
256,1.08,middle_80,middle_90
257,1.28,middle_80,middle_90
258,1.2,middle_80,middle_90
259,1.4,middle_80,middle_90
260,0.78,middle_80,middle_90
261,0.92,middle_80,middle_90
262,1.06,middle_80,middle_90
263,1.18,middle_80,middle_90
264,2.56,high_10,middle_90
265,0.4,low_10,low_5
266,1.04,middle_80,middle_90
267,1.44,middle_80,middle_90
268,0.16,low_10,low_5
269,0.74,middle_80,middle_90
270,1.14,middle_80,middle_90
271,1.66,middle_80,middle_90
272,3.44,high_10,high_5
273,0.92,middle_80,middle_90
274,3.14,high_10,high_5
275,1.14,middle_80,middle_90
276,2.1,middle_80,middle_90
277,1.54,middle_80,middle_90
278,1.94,middle_80,middle_90
279,1.7,middle_80,middle_90
280,2.2,middle_80,middle_90
281,0.8,middle_80,middle_90
282,1.96,middle_80,middle_90
283,1.66,middle_80,middle_90
284,0.54,low_10,middle_90
285,1.36,middle_80,middle_90
286,1.14,middle_80,middle_90
287,0.82,middle_80,middle_90
288,0.98,middle_80,middle_90
289,1.02,middle_80,middle_90
290,1.22,middle_80,middle_90
291,2.66,high_10,middle_90
292,0.48,low_10,middle_90
293,1.54,middle_80,middle_90
294,0.84,middle_80,middle_90
295,1.2,middle_80,middle_90
296,2.1,middle_80,middle_90
297,3.2,high_10,high_5
298,0.94,middle_80,middle_90
299,0.64,low_10,middle_90
300,1.06,middle_80,middle_90
301,0.86,middle_80,middle_90
302,3.66,high_10,high_5
303,0.9,middle_80,middle_90
304,1.38,middle_80,middle_90
305,0.8,middle_80,middle_90
306,2.72,high_10,middle_90
307,0.96,middle_80,middle_90
308,2.1,middle_80,middle_90
309,0.32,low_10,low_5
310,2.04,middle_80,middle_90
311,3.84,high_10,high_5
312,1.36,middle_80,middle_90
313,0.82,middle_80,middle_90
314,1.26,middle_80,middle_90
315,1.6,middle_80,middle_90
316,0.3,low_10,low_5
317,1.34,middle_80,middle_90
318,1.44,middle_80,middle_90
319,0.4,low_10,low_5
320,1.66,middle_80,middle_90
321,1.74,middle_80,middle_90
322,1.62,middle_80,middle_90
323,0.42,low_10,low_5
324,1.16,middle_80,middle_90
325,1.64,middle_80,middle_90
326,0.32,low_10,low_5
327,1.18,middle_80,middle_90
328,1.88,middle_80,middle_90
329,1.28,middle_80,middle_90
330,1.84,middle_80,middle_90
331,2.24,middle_80,middle_90
332,1.68,middle_80,middle_90
333,1.4,middle_80,middle_90
334,0.26,low_10,low_5
335,2.1,middle_80,middle_90
336,1.84,middle_80,middle_90
337,0.78,middle_80,middle_90
338,1.72,middle_80,middle_90
339,1.72,middle_80,middle_90
340,-0.02,low_10,low_5
341,1.08,middle_80,middle_90
342,3.92,high_10,high_5
343,1.26,middle_80,middle_90
344,1.46,middle_80,middle_90
345,1.22,middle_80,middle_90
346,1.16,middle_80,middle_90
347,0.82,middle_80,middle_90
348,0.68,middle_80,middle_90
349,0.64,low_10,middle_90
350,0.9,middle_80,middle_90
351,1.62,middle_80,middle_90
352,1.26,middle_80,middle_90
353,2.32,middle_80,middle_90
354,1.82,middle_80,middle_90
355,1.44,middle_80,middle_90
356,1.22,middle_80,middle_90
357,2.12,middle_80,middle_90
358,1.0,middle_80,middle_90
359,1.6,middle_80,middle_90
360,0.98,middle_80,middle_90
361,0.8,middle_80,middle_90
362,0.38,low_10,low_5
363,2.08,middle_80,middle_90
364,1.54,middle_80,middle_90
365,1.38,middle_80,middle_90
366,0.5,low_10,middle_90
367,1.46,middle_80,middle_90
368,1.94,middle_80,middle_90
369,0.92,middle_80,middle_90
370,1.86,middle_80,middle_90
371,0.56,low_10,middle_90
372,1.48,middle_80,middle_90
373,1.9,middle_80,middle_90
374,1.28,middle_80,middle_90
375,2.1,middle_80,middle_90
376,1.9,middle_80,middle_90
377,1.44,middle_80,middle_90
378,2.44,high_10,middle_90
379,2.4,middle_80,middle_90
380,2.28,middle_80,middle_90
381,2.3,middle_80,middle_90
382,1.96,middle_80,middle_90
383,1.08,middle_80,middle_90
384,1.06,middle_80,middle_90
385,1.32,middle_80,middle_90
386,0.8,middle_80,middle_90
387,2.02,middle_80,middle_90
388,1.54,middle_80,middle_90
389,1.78,middle_80,middle_90
390,2.02,middle_80,middle_90
391,0.42,low_10,low_5
392,1.84,middle_80,middle_90
393,1.12,middle_80,middle_90
394,3.5,high_10,high_5
395,1.64,middle_80,middle_90
396,1.74,middle_80,middle_90
397,0.62,low_10,middle_90
398,3.84,high_10,high_5
399,1.02,middle_80,middle_90
400,4.22,high_10,high_5
401,0.88,middle_80,middle_90
402,2.3,middle_80,middle_90
403,2.24,middle_80,middle_90
404,0.98,middle_80,middle_90
405,1.96,middle_80,middle_90
406,0.68,middle_80,middle_90
407,1.26,middle_80,middle_90
408,1.24,middle_80,middle_90
409,1.42,middle_80,middle_90
410,1.0,middle_80,middle_90
411,1.58,middle_80,middle_90
412,2.86,high_10,middle_90
413,1.2,middle_80,middle_90
414,1.46,middle_80,middle_90
415,1.52,middle_80,middle_90
416,2.64,high_10,middle_90
417,1.5,middle_80,middle_90
418,1.26,middle_80,middle_90
419,3.06,high_10,high_5
420,0.8,middle_80,middle_90
421,1.06,middle_80,middle_90
422,1.36,middle_80,middle_90
423,0.98,middle_80,middle_90
424,1.9,middle_80,middle_90
425,1.26,middle_80,middle_90
426,1.6,middle_80,middle_90
427,2.0,middle_80,middle_90
428,2.52,high_10,middle_90
429,0.8,middle_80,middle_90
430,1.36,middle_80,middle_90
431,1.64,middle_80,middle_90
432,0.84,middle_80,middle_90
433,2.32,middle_80,middle_90
434,0.82,middle_80,middle_90
435,0.64,low_10,middle_90
436,0.92,middle_80,middle_90
437,1.24,middle_80,middle_90
438,1.3,middle_80,middle_90
439,2.56,high_10,middle_90
440,2.18,middle_80,middle_90
441,1.32,middle_80,middle_90
442,1.9,middle_80,middle_90
443,1.9,middle_80,middle_90
444,0.36,low_10,low_5
445,2.3,middle_80,middle_90
446,1.72,middle_80,middle_90
447,0.56,low_10,middle_90
448,1.58,middle_80,middle_90
449,1.92,middle_80,middle_90
450,1.2,middle_80,middle_90
451,2.44,high_10,middle_90
452,1.44,middle_80,middle_90
453,0.76,middle_80,middle_90
454,1.82,middle_80,middle_90
455,2.9,high_10,high_5
456,2.86,high_10,middle_90
457,1.74,middle_80,middle_90
458,1.22,middle_80,middle_90
459,0.58,low_10,middle_90
460,1.0,middle_80,middle_90
461,1.48,middle_80,middle_90
462,0.8,middle_80,middle_90
463,0.42,low_10,low_5
464,1.18,middle_80,middle_90
465,1.84,middle_80,middle_90
466,1.66,middle_80,middle_90
467,0.08,low_10,low_5
468,2.16,middle_80,middle_90
469,1.24,middle_80,middle_90
470,0.84,middle_80,middle_90
471,0.94,middle_80,middle_90
472,0.84,middle_80,middle_90
473,1.3,middle_80,middle_90
474,1.56,middle_80,middle_90
475,0.56,low_10,middle_90
476,0.72,middle_80,middle_90
477,0.8,middle_80,middle_90
478,1.88,middle_80,middle_90
479,1.26,middle_80,middle_90
480,1.36,middle_80,middle_90
481,4.2,high_10,high_5
482,1.44,middle_80,middle_90
483,1.58,middle_80,middle_90
484,1.26,middle_80,middle_90
485,0.84,middle_80,middle_90
486,1.04,middle_80,middle_90
487,0.6,low_10,middle_90
488,1.6,middle_80,middle_90
489,3.26,high_10,high_5
490,1.36,middle_80,middle_90
491,1.78,middle_80,middle_90
492,1.84,middle_80,middle_90
493,1.4,middle_80,middle_90
494,3.42,high_10,high_5
495,0.9,middle_80,middle_90
496,2.04,middle_80,middle_90
497,1.08,middle_80,middle_90
498,1.74,middle_80,middle_90
499,1.92,middle_80,middle_90
500,1.96,middle_80,middle_90
501,1.62,middle_80,middle_90
502,0.76,middle_80,middle_90
503,0.22,low_10,low_5
504,1.26,middle_80,middle_90
505,1.26,middle_80,middle_90
506,2.22,middle_80,middle_90
507,1.42,middle_80,middle_90
508,0.94,middle_80,middle_90
509,1.98,middle_80,middle_90
510,1.56,middle_80,middle_90
511,1.24,middle_80,middle_90
512,-0.2,low_10,low_5
513,0.5,low_10,middle_90
514,1.2,middle_80,middle_90
515,0.32,low_10,low_5
516,0.68,middle_80,middle_90
517,1.84,middle_80,middle_90
518,0.84,middle_80,middle_90
519,1.0,middle_80,middle_90
520,-0.04,low_10,low_5
521,1.3,middle_80,middle_90
522,1.72,middle_80,middle_90
523,1.54,middle_80,middle_90
524,1.1,middle_80,middle_90
525,1.18,middle_80,middle_90
526,1.88,middle_80,middle_90
527,0.94,middle_80,middle_90
528,1.04,middle_80,middle_90
529,1.38,middle_80,middle_90
530,3.5,high_10,high_5
531,0.5,low_10,middle_90
532,1.78,middle_80,middle_90
533,1.16,middle_80,middle_90
534,2.18,middle_80,middle_90
535,1.16,middle_80,middle_90
536,0.68,middle_80,middle_90
537,1.3,middle_80,middle_90
538,2.28,middle_80,middle_90
539,1.1,middle_80,middle_90
540,2.28,middle_80,middle_90
541,1.0,middle_80,middle_90
542,2.46,high_10,middle_90
543,1.16,middle_80,middle_90
544,1.8,middle_80,middle_90
545,1.46,middle_80,middle_90
546,1.8,middle_80,middle_90
547,3.32,high_10,high_5
548,0.82,middle_80,middle_90
549,0.88,middle_80,middle_90
550,1.84,middle_80,middle_90
551,3.94,high_10,high_5
552,1.72,middle_80,middle_90
553,2.56,high_10,middle_90
554,0.9,middle_80,middle_90
555,0.4,low_10,low_5
556,1.52,middle_80,middle_90
557,2.04,middle_80,middle_90
558,1.26,middle_80,middle_90
559,2.6,high_10,middle_90
560,1.0,middle_80,middle_90
561,0.28,low_10,low_5
562,0.46,low_10,low_5
563,1.62,middle_80,middle_90
564,1.26,middle_80,middle_90
565,1.12,middle_80,middle_90
566,0.94,middle_80,middle_90
567,2.68,high_10,middle_90
568,1.32,middle_80,middle_90
569,0.88,middle_80,middle_90
570,0.6,low_10,middle_90
571,1.16,middle_80,middle_90
572,1.62,middle_80,middle_90
573,1.22,middle_80,middle_90
574,1.14,middle_80,middle_90
575,0.46,low_10,low_5
576,2.2,middle_80,middle_90
577,0.1,low_10,low_5
578,1.28,middle_80,middle_90
579,2.6,high_10,middle_90
580,1.62,middle_80,middle_90
581,1.9,middle_80,middle_90
582,3.54,high_10,high_5
583,0.88,middle_80,middle_90
584,1.78,middle_80,middle_90
585,1.86,middle_80,middle_90
586,1.28,middle_80,middle_90
587,1.04,middle_80,middle_90
588,0.2,low_10,low_5
589,1.1,middle_80,middle_90
590,1.6,middle_80,middle_90
591,0.4,low_10,low_5
592,0.96,middle_80,middle_90
593,1.68,middle_80,middle_90
594,2.14,middle_80,middle_90
595,1.66,middle_80,middle_90
596,1.58,middle_80,middle_90
597,1.62,middle_80,middle_90
598,2.08,middle_80,middle_90
599,1.2,middle_80,middle_90
600,1.8,middle_80,middle_90
601,1.68,middle_80,middle_90
602,1.52,middle_80,middle_90
603,1.38,middle_80,middle_90
604,2.44,high_10,middle_90
605,1.04,middle_80,middle_90
606,1.48,middle_80,middle_90
607,0.28,low_10,low_5
608,1.4,middle_80,middle_90
609,2.08,middle_80,middle_90
610,0.88,middle_80,middle_90
611,3.48,high_10,high_5
612,1.28,middle_80,middle_90
613,3.3,high_10,high_5
614,2.66,high_10,middle_90
615,1.26,middle_80,middle_90
616,-0.06,low_10,low_5
617,0.76,middle_80,middle_90
618,0.72,middle_80,middle_90
619,1.7,middle_80,middle_90
620,1.28,middle_80,middle_90
621,1.5,middle_80,middle_90
622,2.4,middle_80,middle_90
623,1.28,middle_80,middle_90
624,0.58,low_10,middle_90
625,0.92,middle_80,middle_90
626,1.52,middle_80,middle_90
627,1.44,middle_80,middle_90
628,1.98,middle_80,middle_90
629,0.6,low_10,middle_90
630,1.84,middle_80,middle_90
631,1.8,middle_80,middle_90
632,0.84,middle_80,middle_90
633,1.02,middle_80,middle_90
634,0.72,middle_80,middle_90
635,0.96,middle_80,middle_90
636,1.88,middle_80,middle_90
637,0.82,middle_80,middle_90
638,0.94,middle_80,middle_90
639,1.78,middle_80,middle_90
640,2.12,middle_80,middle_90
641,1.3,middle_80,middle_90
642,1.02,middle_80,middle_90
643,0.48,low_10,middle_90
644,1.26,middle_80,middle_90
645,1.92,middle_80,middle_90
646,0.6,low_10,middle_90
647,0.16,low_10,low_5
648,2.32,middle_80,middle_90
649,0.68,middle_80,middle_90
650,2.5,high_10,middle_90
651,2.28,middle_80,middle_90
652,1.34,middle_80,middle_90
653,0.92,middle_80,middle_90
654,1.16,middle_80,middle_90
655,1.24,middle_80,middle_90
656,1.0,middle_80,middle_90
657,1.26,middle_80,middle_90
658,1.7,middle_80,middle_90
659,1.6,middle_80,middle_90
660,1.2,middle_80,middle_90
661,0.1,low_10,low_5
662,1.54,middle_80,middle_90
663,0.74,middle_80,middle_90
664,1.82,middle_80,middle_90
665,2.5,high_10,middle_90
666,2.04,middle_80,middle_90
667,2.02,middle_80,middle_90
668,1.28,middle_80,middle_90
669,1.32,middle_80,middle_90
670,0.62,low_10,middle_90
671,1.84,middle_80,middle_90
672,2.5,high_10,middle_90
673,1.58,middle_80,middle_90
674,1.04,middle_80,middle_90
675,3.02,high_10,high_5
676,3.44,high_10,high_5
677,0.68,middle_80,middle_90
678,0.9,middle_80,middle_90
679,1.0,middle_80,middle_90
680,1.74,middle_80,middle_90
681,2.04,middle_80,middle_90
682,0.76,middle_80,middle_90
683,0.84,middle_80,middle_90
684,1.48,middle_80,middle_90
685,1.38,middle_80,middle_90
686,1.24,middle_80,middle_90
687,2.4,middle_80,middle_90
688,0.76,middle_80,middle_90
689,1.18,middle_80,middle_90
690,0.88,middle_80,middle_90
691,1.94,middle_80,middle_90
692,1.94,middle_80,middle_90
693,0.52,low_10,middle_90
694,0.98,middle_80,middle_90
695,2.46,high_10,middle_90
696,2.02,middle_80,middle_90
697,1.02,middle_80,middle_90
698,0.76,middle_80,middle_90
699,1.18,middle_80,middle_90
700,0.76,middle_80,middle_90
701,3.26,high_10,high_5
702,1.24,middle_80,middle_90
703,1.64,middle_80,middle_90
704,1.14,middle_80,middle_90
705,1.0,middle_80,middle_90
706,1.8,middle_80,middle_90
707,0.64,low_10,middle_90
708,0.88,middle_80,middle_90
709,2.0,middle_80,middle_90
710,2.08,middle_80,middle_90
711,2.9,high_10,high_5
712,1.44,middle_80,middle_90
713,1.46,middle_80,middle_90
714,1.52,middle_80,middle_90
715,1.98,middle_80,middle_90
716,1.86,middle_80,middle_90
717,1.56,middle_80,middle_90
718,0.94,middle_80,middle_90
719,1.9,middle_80,middle_90
720,1.36,middle_80,middle_90
721,2.1,middle_80,middle_90
722,1.86,middle_80,middle_90
723,3.02,high_10,high_5
724,1.14,middle_80,middle_90
725,1.52,middle_80,middle_90
726,0.64,low_10,middle_90
727,3.24,high_10,high_5
728,1.9,middle_80,middle_90
729,0.5,low_10,middle_90
730,1.68,middle_80,middle_90
731,0.88,middle_80,middle_90
732,0.4,low_10,low_5
733,2.86,high_10,middle_90
734,1.32,middle_80,middle_90
735,0.8,middle_80,middle_90
736,1.8,middle_80,middle_90
737,1.4,middle_80,middle_90
738,2.06,middle_80,middle_90
739,0.36,low_10,low_5
740,1.7,middle_80,middle_90
741,1.64,middle_80,middle_90
742,0.6,low_10,middle_90
743,1.64,middle_80,middle_90
744,1.28,middle_80,middle_90
745,1.38,middle_80,middle_90
746,1.6,middle_80,middle_90
747,0.16,low_10,low_5
748,1.38,middle_80,middle_90
749,1.24,middle_80,middle_90
750,1.72,middle_80,middle_90
751,1.38,middle_80,middle_90
752,0.52,low_10,middle_90
753,0.52,low_10,middle_90
754,1.3,middle_80,middle_90
755,1.56,middle_80,middle_90
756,1.38,middle_80,middle_90
757,1.6,middle_80,middle_90
758,0.92,middle_80,middle_90
759,2.9,high_10,high_5
760,1.64,middle_80,middle_90
761,1.12,middle_80,middle_90
762,1.42,middle_80,middle_90
763,0.24,low_10,low_5
764,0.86,middle_80,middle_90
765,3.42,high_10,high_5
766,1.88,middle_80,middle_90
767,1.58,middle_80,middle_90
768,0.98,middle_80,middle_90
769,1.0,middle_80,middle_90
770,1.28,middle_80,middle_90
771,3.02,high_10,high_5
772,2.32,middle_80,middle_90
773,1.42,middle_80,middle_90
774,0.82,middle_80,middle_90
775,1.68,middle_80,middle_90
776,1.7,middle_80,middle_90
777,1.12,middle_80,middle_90
778,1.04,middle_80,middle_90
779,1.64,middle_80,middle_90
780,1.18,middle_80,middle_90
781,1.5,middle_80,middle_90
782,1.16,middle_80,middle_90
783,2.34,middle_80,middle_90
784,0.3,low_10,low_5
785,-0.32,low_10,low_5
786,0.52,low_10,middle_90
787,3.56,high_10,high_5
788,3.04,high_10,high_5
789,2.34,middle_80,middle_90
790,2.16,middle_80,middle_90
791,1.12,middle_80,middle_90
792,1.44,middle_80,middle_90
793,1.24,middle_80,middle_90
794,1.5,middle_80,middle_90
795,0.56,low_10,middle_90
796,1.2,middle_80,middle_90
797,2.92,high_10,high_5
798,3.48,high_10,high_5
799,1.68,middle_80,middle_90
800,1.42,middle_80,middle_90
801,1.28,middle_80,middle_90
802,1.9,middle_80,middle_90
803,1.12,middle_80,middle_90
804,1.38,middle_80,middle_90
805,1.18,middle_80,middle_90
806,0.62,low_10,middle_90
807,2.48,high_10,middle_90
808,1.7,middle_80,middle_90
809,1.66,middle_80,middle_90
810,1.24,middle_80,middle_90
811,1.12,middle_80,middle_90
812,0.48,low_10,middle_90
813,3.44,high_10,high_5
814,0.88,middle_80,middle_90
815,2.0,middle_80,middle_90
816,1.06,middle_80,middle_90
817,0.56,low_10,middle_90
818,1.08,middle_80,middle_90
819,1.34,middle_80,middle_90
820,1.5,middle_80,middle_90
821,1.44,middle_80,middle_90
822,0.9,middle_80,middle_90
823,2.0,middle_80,middle_90
824,1.92,middle_80,middle_90
825,1.42,middle_80,middle_90
826,1.5,middle_80,middle_90
827,1.88,middle_80,middle_90
828,2.26,middle_80,middle_90
829,1.08,middle_80,middle_90
830,1.02,middle_80,middle_90
831,0.64,low_10,middle_90
832,1.24,middle_80,middle_90
833,1.06,middle_80,middle_90
834,1.82,middle_80,middle_90
835,3.18,high_10,high_5
836,0.86,middle_80,middle_90
837,1.0,middle_80,middle_90
838,0.98,middle_80,middle_90
839,3.8,high_10,high_5
840,0.98,middle_80,middle_90
841,1.26,middle_80,middle_90
842,1.12,middle_80,middle_90
843,0.74,middle_80,middle_90
844,1.14,middle_80,middle_90
845,0.98,middle_80,middle_90
846,1.06,middle_80,middle_90
847,1.72,middle_80,middle_90
848,1.16,middle_80,middle_90
849,1.38,middle_80,middle_90
850,1.14,middle_80,middle_90
851,3.48,high_10,high_5
852,2.46,high_10,middle_90
853,2.18,middle_80,middle_90
854,0.64,low_10,middle_90
855,1.06,middle_80,middle_90
856,1.4,middle_80,middle_90
857,1.74,middle_80,middle_90
858,1.04,middle_80,middle_90
859,2.22,middle_80,middle_90
860,0.82,middle_80,middle_90
861,1.02,middle_80,middle_90
862,2.84,high_10,middle_90
863,1.58,middle_80,middle_90
864,3.92,high_10,high_5
865,1.28,middle_80,middle_90
866,1.7,middle_80,middle_90
867,1.7,middle_80,middle_90
868,1.2,middle_80,middle_90
869,1.52,middle_80,middle_90
870,0.58,low_10,middle_90
871,1.48,middle_80,middle_90
872,0.8,middle_80,middle_90
873,0.42,low_10,low_5
874,1.22,middle_80,middle_90
875,1.64,middle_80,middle_90
876,1.02,middle_80,middle_90
877,1.44,middle_80,middle_90
878,2.66,high_10,middle_90
879,0.78,middle_80,middle_90
880,1.72,middle_80,middle_90
881,0.62,low_10,middle_90
882,1.96,middle_80,middle_90
883,1.8,middle_80,middle_90
884,1.58,middle_80,middle_90
885,0.78,middle_80,middle_90
886,0.88,middle_80,middle_90
887,0.82,middle_80,middle_90
888,1.24,middle_80,middle_90
889,1.5,middle_80,middle_90
